pizzadaze	Oh no! Not the "bro code"!!! @ETCanada #sarcasm #iggydeservesbetter
MagpieStu69	@SkyHelpTeam thanks for the quick response #sarcasm
EBatterson	@BjarteBjorkum @PeterSweden7 @GBP_Robert_B @Davecarr86 how do you know were you there when they were written? #sarcasm
WrobStv	@Astra543 Okay then, If YOU say so. #sarcasm
simonkeyman	Did you ever notice that sarcasm is even funnier when the other person just doesn't get it? #sarcasm @FunnySayings
oreocakester101	Can't wait to spend this summer with the sass master! ☺️ #queenofsass #sarcasm #roommate… https://www.instagram.com/p/BEhbvk3jWEt/
zacharyhinckley	Yeah Zidlicky looks good.... #sarcasm #isles
nlbmprez	RT @MarklTJohnson: Uh, appreciate you taking me along... #sarcasm https://twitter.com/nlbmprez/status/723654369053302784
Jarjarbug	Well there's surprise!! #sarcasm https://twitter.com/nh92276/status/723685867424862209
thejoereed	RT @twitterwoods: Jeff only last week in 60 Days In? Shocking. #sarcasm
thejoereed	RT @twitterwoods: Jeff only last week in 60 Days In? Shocking. #sarcasm
jayruston	@wyshynski you should make your @LAKings hatred more obvious #sarcasm
smfhjosh	If you have "#sarcasm" in your bio there's a 92% chance you don't understand sarcasm.
smfhjosh	If you have "#sarcasm" in your bio there's a 92% chance you don't understand sarcasm.
LinkNZeldaLove	I need more friends, I miss having more opportunities to be sarcastic x3 #sarcasm #boredom
PNafc79	A question for the liberal goons out there? Is it ok to have a beer today to celebrate St Georges Day or is it racist? #sarcasm
PNafc79	A question for the liberal goons out there? Is it ok to have a beer today to celebrate St Georges Day or is it racist? #sarcasm
dpalermo79	@ZoFang who the fuck let mum in the wardrobe? Shouldn't she be in the kitchen cooking a meal for the family. #sarcasm
Superfletch81	Great win against a tough side to beat #saintsfc #sarcasm
mnkingsfan	Heading to Canada tomorrow, to bad they won't watch hockey with me :) #sarcasm
KJH05	Oh my god. I'm so pumped I got my one foot tall replica trophy. I only wasted my entire afternoon. #sarcasm
KatrinaLandry4	literally treated like garbage👌😊🗑 #BestFeelingInTheWorld #sarcasm
SDCrimJustice	@vosdscott Now, you are just being silly. The repeated name calling is a very effective technique. #sarcasm
SDCrimJustice	@vosdscott Now, you are just being silly. The repeated name calling is a very effective technique. #sarcasm
wonder31415	RT @kimberly_linda: .@DrEricHoskins - on the plus side, fewer #outofcontrol MDs to pay, right? #sarcasm #onpoli https://twitter.com/ccleighton/status/723887149041348608
tyeburklow	Glad we pay so much for such "great" wireless internet!! #sarcasm @TWC http://twitter.com/tyeburklow/status/724058566252986368/photo/1
tyeburklow	Glad we pay so much for such "great" wireless internet!! #sarcasm @TWC http://twitter.com/tyeburklow/status/724058566252986368/photo/1
ciggsandcars	RT @chelseamgiles: I love being stuck at a bar I don't want to be at without my car. #bestfeelingever #sarcasm
Netminder39	He's putting Strait in tonight! #sorrynotsorry #sarcasm #Isles https://twitter.com/Shannon_Hogan/status/724248801335250944
jmswain999	Yet another commanding @Arsenal performance!! 😁 No pride or passion & don't deserve jack shit #sarcasm #summerclearout #afc
jmswain999	Yet another commanding @Arsenal performance!! 😁 No pride or passion & don't deserve jack shit #sarcasm #summerclearout #afc
saintsmith80	How come #vardy not playing? Don't think it's been mentioned by the media enough. #sarcasm #Football #boring
LidilabDlub	I am just being sarcastic but my friends think that I'm already mad. Haha 😂😂😝😜🐷🐷 #sarcasm
SpoonieSensei	yes… The satisfaction that comes from mowing dust…. #sarcasm http://twitter.com/SpoonieSensei/status/724292938054918144/video/1
dandelora	@ZachENQ why don't we just trade Simon and hoover to Washington for Bryce Harper??? #sarcasm
tripower66	@TodaysSlapshot they belong together #sarcasm
bzenner	Hey, if Dallas can score 3 in one period, so can the #mnwild, right? #sarcasm
72ce5f0717f1487	RT @2AFightR: Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5p…
UrsulaJordanHan	RT @DeeHayes: Love how people can't have two jobs in #Census2016 & how vague the questions on disability/health difficulties are #sarcasm
M_confused_	RT @WroblewskiBecky: When your #sarcasm is so #advanced people actually think you are #stupid.. http://crackedpop.com/230924-6622400
danielbarden_	RT @WroblewskiBecky: When your #sarcasm is so #advanced people actually think you are #stupid.. http://crackedpop.com/230924-6622400
sarcasmdose	RT @WroblewskiBecky: When your #sarcasm is so #advanced people actually think you are #stupid.. http://crackedpop.com/230924-6622400
MatPDouglas	@wingoz shouldn't you be working on your 2,645th mock draft before the draft? #sarcasm #GameofThrones
matteweaver	Best tweet of the year by you so far @Jonathan_Feigen #sarcasm https://twitter.com/jonathan_feigen/status/724401271361294336
vikasg02	RT @sankrant: Terrible racist Europeans are just not doing enough for Syrian refugees. Learn from Islamic countries. #sarcasm https://t.co…
tdappel	I think @jeffroe just won the GOP nomination for Ted Cruz tonight. #sarcasm #BOSvsHOU
PunKB24	Peace the fuck out Scott.. Thanks so much for making @kobebryant's last year a success #gokobego #sarcasm
KerriDoubikin5	@MagpieLiffy c'mon it was a love tap #sarcasm
Mr_J_Gamer	Good morning Finland. What a great day to start #sarcasm #depression http://twitter.com/Mr_J_Gamer/status/724473421220990976/photo/1
jsaditya	RT @sankrant: Would be secular to have red, white and green. Red cross, green crescent. Till only crescent is achieved. #sarcasm https://t.…
Raman103	RT @sankrant: Would be secular to have red, white and green. Red cross, green crescent. Till only crescent is achieved. #sarcasm https://t.…
KyleDavidHall	RT @Heaven_babygirl: @KyleDavidHall @ayallakarina all the random people know you more than you know yourself 👍 must be the greatest #sarcasm
isabellaj_03	RT @Heaven_babygirl: @KyleDavidHall @ayallakarina all the random people know you more than you know yourself 👍 must be the greatest #sarcasm
ChloeOfOoo	RT @Heaven_babygirl: @KyleDavidHall @ayallakarina all the random people know you more than you know yourself 👍 must be the greatest #sarcasm
DEADVELOCRAPTOR	RT @Heaven_babygirl: @KyleDavidHall @ayallakarina all the random people know you more than you know yourself 👍 must be the greatest #sarcasm
lauramessner14	RT @Heaven_babygirl: @KyleDavidHall @ayallakarina all the random people know you more than you know yourself 👍 must be the greatest #sarcasm
laneboiluke	@KyleDavidHall please Kyle they are mind readers you don't have right to say that #sarcasm
G1NG3RJ35U5	Well done, me. Real good job #sarcasm
tusentalsord	This is setting up to be a wonderful day. #sarcasm
Trevor_Hattingh	@thethabootyshow Government is poisoning us with Chemtrails. It's a way of population control. #sarcasm. Some people genuinely believe it.
ChandlerDawn4	RT @Heaven_babygirl: @KyleDavidHall @ayallakarina all the random people know you more than you know yourself 👍 must be the greatest #sarcasm
Butterbuffy	@thedailybeast cool choice for the headline pic for GOT recap #spoileralertfail #sarcasm #hownottodoit
tiger3izzy	RT @Heaven_babygirl: @KyleDavidHall @ayallakarina all the random people know you more than you know yourself 👍 must be the greatest #sarcasm
opy_kanopy	@CTVKelseyMcEwen lol I know. #sarcasm
Hiddanas	A settlement over the death of Tamir Rice? But I thought the police did no wrong here. I'm so confused. #sarcasm https://twitter.com/AP/status/724593054473150464
jedimarkus77	$DJIA hit 17900 on the downside. shit getting serious... #sarcasm
tasvike	@AdamSchefter So glad our courts are spending time on such important issues. #sarcasm
jamurch	@wnprcolin Yeah, use a focus group to determine what works best with your target demographic and then lie about what book you like! #sarcasm
eefiala	RT @RaulSports: It's apparent that @DeMarcusWare has let himself go during the off-season. #sarcasm #DudeIsJacked http://twitter.com/RaulSports/status/724667410385539072/photo/1
SexyNoMatter	Against, why #Daria was my best friend! #sarcasm #ReginaldChaos https://www.instagram.com/p/BEoqAabs0KxEsN3jgCCeRQPI9IMS2FrBzgCsoQ0/
mariyakb	I like how Jay Z cheated on Beyoncé and fans are only attacking the mistress, not Jay Z. #sarcasm
Briphilbin	Man, Tottenham are really cool and classy #sarcasm
ETthomehome	Well shit, looks like I have no choice but to back Trump now.......#sarcasm https://twitter.com/SNFonNBC/status/724677183667625985
baldspuds	What time does game of thrones start...... #sarcasm
bossmayeth05	RT @imrandaudsanji: If I'm not anywhere on today,that means I hate Saturdays. #sarcasm #stress #worried #again
brayamperez_	learning that my FAFSA is finally being processed when I finished everything two months ago is so amazing #sarcasm
HareIsRight	RT @GarbageWisdom: Want to send anime nerds crazy? Tell them your fave anime is Scooby Doo #NGAF #sarcasm http://twitter.com/GarbageWisdom/status/724734904966242304/photo/1
JR_Leonard88	@IanKenyonNFL but that's the way it use to be back in the good ole days Ian! Back when players weren't such sissies #sarcasm
wayne818	Ordered something on @amazon on the 19th. Didn't get it shipped until today. #LuckyILiveHawaii #sarcasm
bessmccoy	Nope. That was an onside goal. Doesn't count #sarcasm #Blues
lillie_lunatic	RT @Heaven_babygirl: @KyleDavidHall @ayallakarina all the random people know you more than you know yourself 👍 must be the greatest #sarcasm
Emma_Coomes	My cat completely busting a potted plant on the floor at 9:30 pm is exactly how I wanted to spend my night. #sarcasm http://twitter.com/Emma_Coomes/status/724782785961938944/photo/1
Royalsrally	Thanks @Royals for making tonight's Angels broadcast on FoxSportsKC a great success. #sarcasm
V_garpend	Breaking# Prince's funeral due to be held in North Carolina. Men wearing eyeshadow will not be allowed into the church. #sarcasm #idiots
akihheikkinen	Guess now #Russia just have to go after "Right Sector" in #Ukraine with tanks and mechanized infantry. #sarcasm https://twitter.com/akihheikkinen/status/724874396326854656
pattygreen26	@jadesta36 a little late but well played on Sunday #sarcasm #WSWvBRI #COYW
IGsAreGR8	Could be true given the number we've got locked up #sarcasm https://twitter.com/KieraGorden/status/724888044570988544
Theartfuldoge	@Independent @David_Cameron A hypocrite,perish the thought #sarcasm
OMGhilariousLOL	RT @LOLsarcasms: Definitely me. Like if you agree. 😕 #LOL #sarcasm #LOLsarcasm #LOLsarcasms #sarcastic #fun #funny #funnypics https://t.co…
Wolf_InTheWilds	@mkurtkaya @zerohedge :) its ok. have to keep #sarcasm everytime I guess.
tripower66	@LarryWHomeSmart @CochiseJack @BenShroyer @ArizonaCoyotes thought they were in limbo? #sarcasm
bigballsonchin	Soooo funny 😂 I used to be one 😂 #joke #sarcasm #funny #nails #girls by laiza_grant8 http://twitter.com/bigballsonchin/status/724970902899818496/photo/1
NewtonNathaniel	@iConnectSA fibre is down and only one technical person available and he is driving??? Excellent service. #sarcasm
sitcho5dollar	@CELEBUZZ @IGGYAZALEA oooooh #exciting...I say this with utmost #sarcasm
soxhawk	And there's the tornado warning. Yay!!! #sarcasm See you if a couple hours...
lucafex	Quote of the day #quote #quotes #motivationalquote #insiprationquote #sarcasm #ego #jealousy #change #like4like #li… http://twitter.com/lucafex/status/725065362665050112/photo/1
wtchout4myroots	here's a shocker: canceling an #Obamaphone is next to impossible. Yay, efficiency! #sarcasm http://twitter.com/wtchout4myroots/status/725078281263800320/photo/1
1travisns	@RossTuckerNFL @ProFootballTalk I'd have guessed having fingers crossed to be Mr Irrelevant would've numbed you to suspense. Oh, #sarcasm
MadMadamLiz	People adding you on Facebook just to stalk you. Woot. The friendship is real. #sarcasm
KingofQueens13	I can't wait to get home and deal with my taxes! #sarcasm
Beda_Believe_It	@bbournival snapchat friends were at the concert... #sarcasm
QueenCathh	That "I know but, I don't know" feeling. 🤔 #sarcasm
celeena4	@FedEffingUp @drewson128 @GMA @michaelstrahan yes! Shame on kelly! How dare she audition for a gig & accept a great job! Diva! #sarcasm
PolarVan	@patricklee6669 @JimTheTrainer @pinkheretic Oh, I have *NO* clue what party he likes and what religion he follows... #sarcasm
perezheather081	RT @ohio_trump: Hmm something must be wrong here... I thought Trump couldn't surpass 50%?? 🤔 #sarcasm
AngeloSGiannini	@billplunkettocr @realestatelaca might be a bit of an overreaction??? #sarcasm #Ignorant
DoctorNova85	RT @JeanetteJing: @ggreenwald @ShaunKing Good thing he's now tied with the Democratic frontrunner #sarcasm
theartreposter	RT @LKellyArt: 'Becky's Son, With The Good Hat' #2016 #art #artist #BeckyWithTheGoodHair #sarcasm #portrait #painting #boy #hat https://t.c…
asfpodcast	Hi there @DominionEvents , I don't believe this room is large enough for one on one podcasts. #dominion #sarcasm http://twitter.com/asfpodcast/status/725302803070095360/photo/1
bikbah	RT @xaprb: #golang’s lack of generics, ignorance of language design, and error handling are awful. #sarcasm http://twitter.com/xaprb/status/725153720707723268/photo/1
A_man_duh0	Even though you broke my selfie stick & called me ugly that one time, HBD ASHLEY!! ily #unblithey #👩‍👩‍👧‍👧 #sarcasm http://twitter.com/A_man_duh0/status/725355228753727488/photo/1
AngryDraxler	38.7°C ffs Get to the hospital instead of watching the game 😄 #sarcasm
LarryRoth	Writing for your audience?!? Anarchy! http://buff.ly/1QwZccq #UCD #sarcasm via @m7abib
IWKlocal	@cmysaul No, because men are the norm and can always be counted on to be perfectly bias free, rational and unemotional. #sarcasm
QuotesEnc	!!! Tag someone ? #quotesandsayings #quotedaily #quotes #qotd #quote #quoteoftheday #sarcasm by @writingsforyourfee… http://twitter.com/QuotesEnc/status/725396935687999489/photo/1
BlackCapitolHil	@SHOT97MARKETING Because they clearly can't think for themselves & a visual album will take over their entire lives #sarcasm #crisis
MartyVitanza	@OGNoFeet We'll that's comforting to hear #sarcasm
KLehnus	@Cubs What? @JArrieta34 couldn't control the weather with his PED's?! #sarcasm
InvitedGull	Thanks to @CUSD205 I was marked absent in fourth block. Because you had me stay in iss longer than I was supposed to. You guys rock #sarcasm
lily_staceyx	RT @californiaincan: @treytke @TedMcMeekin wow! I am so impressed with the overwhelming compassion from this Liberal MPP. #sarcasm #AutismD…
TheBrownBelle	@JamieW1776 I was TOTALLY agreeing w/you..I caught the #sarcasm
jstamey10	Wow last night at Mars Hill I'm so sad. #sarcasm
sjbarbour	The bullpen just keeps getting better #BlueJays #sarcasm #hardtowatch
MamaDweeb	@FrReigns Didn't you know that? I mean, Christians don't sin! #duh #sarcasm
emileehelm	uhhh to2 for anaheim @KiingWishh #weback #sarcasm http://twitter.com/emileehelm/status/725572285327761409/photo/1
lukasmacuda	I really like my internet banking. So many fucking #javascript animations and I still have no idea how much money I can use. #sarcasm #ux
hinasafi	RT @KhopreKiMithai: Vegetarians have no problem eating chicken fetuses. Monsters. #sarcasm
DipendraDipzo	RT @sudeepbose: Not only fishermen, this help RSS to find accurate location where "Beef" is being cooked. #ISRO #sarcasm #funny https://t.c…
Jeffmckercher	Gaustad with the winner for @PredsNHL , def worth the 1st round pick. #sarcasm
alex_kal24	@NEKCIMENIJ the longest delay of the year goes to both Bayonse and you 😁 #noteanoshade #sarcasm #bitchdeservedit
TheMMThoughts	When you speak #sarcasm with such proficiency that people think you're complimenting them...
APN1987	Such a shame. After so much promise at the outset #sarcasm #LeagueOnebound #enjoy https://twitter.com/bbclancssport/status/725663660853628928
ZiyaKarabulut1	RT @LKellyArt: 'Becky's Son, With The Good Hat' #2016 #art #artist #BeckyWithTheGoodHair #sarcasm #portrait #painting #boy #hat https://t.c…
LorenJCook	@PHSportsGoddess @NFL @Eagles @RapSheet Wait I thought that rumor was dead? #sarcasm
PizzaD_14	Hey @bobandtom have you ever heard of @TaxSlayer? Maybe be they could sponsor you. #sarcasm #podcastgold
NevermoreBird	It's gonna be news worthy for a long while, good thing she's got a safe space right? #sarcasm #trigglypuff https://twitter.com/Nero/status/725548787800891392
train_com	#sarcasm I live in one giant insane asylum called planet Earth, and no one can tell the doctors from the inmates.
Flyhawk70	@CarolAnneKnapp @Johnnyw4lifeW @Fluffmuffin94 @Deir_in_DC @SomeBlueDevilFL isn't she a peach. She would make a great Prez. #sarcasm
Expert_Afrique	RT @grimm_sven: Declining power. #sarcasm https://twitter.com/Expert_Afrique/status/725742861409464322
maverick19821	@LoaderAndrew you'll always be a winner in my 👀's #lol #sarcasm
JoshyWaitForItJ	What a thug #sarcasm https://twitter.com/jaboowins/status/725796929301532672
thejrbaimanSHOW	Oooooh! She really got everyone! What a strong message! #CaitlynJenner #sarcasm https://twitter.com/CBSNews/status/725806541035679745
LeslieContes	ooo please dont block me, I may not be able to sleep tonight! #sarcasm http://twitter.com/LeslieContes/status/725827703518044160/photo/1
Chad_Nelson	RT @PaulaGines26: #LDS #mormons If God is love salvation should be free. #sarcasm http://twitter.com/PaulaGines26/status/725726358186291200/photo/1
PNGmissionary	I have read articles on Climate Change & never saw the claim that it's really caused by #GlobalCapitalism #sarcasm? http://twitter.com/PNGmissionary/status/725831990763638784/photo/1
Taylor_Sechi	Absolutely hate how tight and sore my back gets from running #newlife #yayme #sarcasm
NeeNeeFox	As you can see I deal with very stressful events in my life. I'm 24- why am I expected to cook for myself and bathe daily? #sarcasm
charmingred	@Billysmithjr33 @EtterRuss @MsTerryMcMillan yes that's so worth dying over?! #sarcasm #shutupchildhatingracist
LordoftheEdge	Man the race war is happening ahead of schedule. #sarcasm
KristinaSyk	Yes, because then Sweden could invade Russia, something we always dreamt of. #sarcasm https://twitter.com/stora_norrland/status/725947447545995264
GDyTwoShoes	@MercedesAMGF1 @nico_rosberg @LewisHamilton Fantastic, everything going perfectly to plan. Nico for WDC ah!? #screwlewis #sarcasm
smartassquote	Here's how to trick a fairy into granting you the wish to live forever: #funny #humor #sarcasm #congress #forever http://fb.me/4uR9zT8hS
umlweatherman	Comparing work duties to raising a child. Yes that is exactly what the conversation should be. #sarcasm #meternity https://twitter.com/jstcallmesweet/status/726040505893576708
scwinter	@MTA Loved waiting a full 18 minutes for a G train this morning! Makes my day so much less stressful. #sarcasm
JakeTheManSnake	wait, what? We're picking this to cry about? yes, totally - shame on you for saying cheerleaders must be "fit" #UWCheer #sarcasm
TNople	@WWWineWitch @KNP2BP @ChristieC733 oh! A meme! I was soo wrong! #eyeroll #sarcasm (newsflash: cartoons DO NOT= factual debate)
Tannerexia	@people @People_Style Looks like she started her butt injections. Don't judge, they are way different than implants. LOL #sarcasm
raulhGarcia	@TIME @motto But if she's a #liberal she's a mom if she feels like it!! And your job is to stand up for her!! #timemagazine #sarcasm
G2RSTL	@Joyanna1985 @Lily_Bell82 like you would be able to tell a critic from a cricket...🙀 #humor #sarcasm
abby7thurman	Oh boy, this 5000-word doc is full of my favorite thing—arbitrary capitalization of nouns! #sarcasm #amediting
jazziefoster	Hi student loans, thanks for bleeding me dry this early afternoon. Missed you too #sarcasm
rscottking	Nicer? I feel positively pampered when I visit my local MoCo store in Wheaton. The pinnacle of luxury! #sarcasm https://twitter.com/justupthepike/status/726098921404137473
ShadowByte13	I absolutely LOVE how my mom doesn't believe a damn word I say. #sarcasm
amjaliks	Yeah! One more unofficial dependency manager for Cocoa projects. #sarcasm https://github.com/Carthage/Carthage
fixedimage	@LATSeema @superbranch Wow, what a thread. It's great to see so many well ready people here today. #sarcasm
iOndrew	#irony #sarcasm #cynism #dumb #idiot #fuckoff #pathetism #misanthropy Well,yeah... Another day for another hate.😈🔥💀👿 http://twitter.com/iOndrew/status/726149729269211136/photo/1
MatthewKnell	More quality, deeply thought out Facebook Live programming #sarcasm https://twitter.com/_Cooper/status/726141523004379136
mscaryntou	I need validation for my life....please anybody tell me I'm a good person/mother hahahaha, now what kind of shit is that😕😂😂😂 #sarcasm
SalamMorcos	@twittposter @dltwyman But since when money corrupts? #sarcasm
TomAdams9999	@WhyNotRational @ApeMan6 #fail to comprehend #sarcasm at their #selfdelusions
ahcuzed	RT @Blackmintphoto: New Labour #kenlivingstone #AntisemitismAction #sarcasm http://twitter.com/Blackmintphoto/status/725783939823063040/photo/1
JillinSac	We can totally come back from this! #sarcasm #SFGiants #stillloveyou
implestrat	Sign on back of cab - "Now we are hiring drivers!" makes me wonder what they were hiring before...#sarcasm
Witticisms_R_us	DILF tee shirt, funny tshirt, dad shirt, new dad, graphic tee, gift… http://tuppu.net/37cf9a5a #sarcasm #WitticismsRus http://twitter.com/Witticisms_R_us/status/726308298664775680/photo/1
LOLsarcasms	Ha Ha :P :D Like if you agree.. #LOL #sarcasm #LOLsarcasm #LOLsarcasms #sarcastic #fun #funny #funnypics http://twitter.com/LOLsarcasms/status/726343255034585088/photo/1
sarahtoastie	YAY another cold. I just love it when I get colds :/ #sarcasm #needtogetbetter
cbzoomer	@KeithKaren1 @BridgetOFlynn @eatatjoe2 could have been a deposit on the subs #sarcasm
kaow15	@packers yes bc trading away a 4th and 7th to move up 8 spots to take your 8th or 9th lineman is a great choice #sarcasm
AZedKae	It's the weekend! And to celebrate, I'm making... one baked potato with butter and parmesan... exciting! 😏 #sarcasm #lazyday
ggnoir13_j	@fizzy_mike @kingskroinkie @SkyNews yeah same way how south Africa and America use to democratic #sarcasm
JEDTHEPHISHHHH	Tunsil smoked weed and took money violating NCAA rules for his struggling mother. What a piece of shit he is #sarcasm
Mauriregion	weddady: Let's read too much into this.. pleaaase 😂😂😂 #sarcasm #Iraq https://twitter.com/HiwaAfandi/status/726423721125228545
AndyRussell299	@KatieKatCubs #sarcasm. The burger is the way to go. I like the cheeseburger, ketchup mustard and grilled onion and fries of course.
Kim3_Kim3	RT @Blackmintphoto: New Labour #kenlivingstone #AntisemitismAction #sarcasm http://twitter.com/Blackmintphoto/status/725783939823063040/photo/1
CJR16255	RT @thebstiles: Charles Davis on Hogan: "In some ways, he's Tyler Palko..." That should delight Chief fans. #sarcasm
Stuart__C	@bobpockrass That's too bad. #sarcasm
promoman9	RT @Digger1265: @AaronNagler I'm just going to get this started now. McCarthy needs to play Trevor Davis more. #Packers #janis #sarcasm
LochlinCross	Take that back Terry...Sports Media doesn't whine!!! #sarcasm https://twitter.com/terrytjander/status/726514411226075136
LVI56	Don't you just love plate races? #sarcasm
