VrginX	They still make #GarbagePailKids? #sarcasm @toppscards: http://twitter.com/toppscards/status/693949069018939392
phildraws	Sarcasm the greatest defence against anything nasty #sarcasm #defence http://buff.ly/20Ne0cS http://twitter.com/phildraws/status/701354623035187200/photo/1
MonkeyStreamsXP	Random but funny #sarcasm https://twitter.com/funnytvveet/status/701353282560770048
gigicd86	@ecambage Srsly,what would we do without white people always there ready to explain things to us? #sarcasm
waldorfVstatler	The Zionists neo cons new atheists are after you #sarcasm https://twitter.com/GadSaad/status/701377168698384384
PixieBlossom	Can't sleep because horribly sick. Yes, this is how I wanted my weekend to go... #sarcasm #killmenow #inpain
scoutie	suuuuure, a prolonged coughing fit just as i got into bed was exactly what i was hoping for #sarcasm
hootie1233	@nhltvsupport haha watching pens game for 10 seconds aaaannnnnd….stops #greatservice #sarcasm #nhltvsucks
am_dizzel	I love to fight it's exciting especially with people who try to say they are "helping" me #sarcasm #pissedoff #imdone
Saira1Ummah	@TRobinsonNewEra yes let's blame all Muslims for that. It must be all their ideology #sarcasm.
oooorah	@MRNickHagood True! When I see your posts I automatically assume the fetal position. #imnotworthy #sarcasm
MRNickHagood	RT @oooorah: @MRNickHagood True! When I see your posts I automatically assume the fetal position. #imnotworthy #sarcasm
TallCooolOne	Soooo glad @okcthunder have improved the defensive communication and effort. #sarcasm Gotta get much better effort. #ThunderUp
techno1log	RT @eliecohen1400: @feldspar_08 @AndreaHardie I'm sorry. I didn't realize I had to be 100% perfect all the time. #sarcasm
Brandeaux_	RT @kasthomas: OMG you mean these whiny entitled millennials want to afford rent AND FOOD? On ONE paycheck? What are they thinking? #sarcasm
danb_0	So @wwe has @WWERomanReigns in yet another main event for #WrestleMania. #surprise #sarcasm
timdogg98	It's up to HHH to get Roman over with the fans #sarcasm
DoucheByTrade	RT @ElEpicoRu: NOBODY wanted this match RT @timdogg98: It's up to HHH to get Roman over with the fans #sarcasm
kishanrabheru27	Oh #monday I do love you .... #sarcasm #ihatemondays 😒😩😭 I want my bed! #tired
samratroyc	@ZeeNews @sardanarohit I have a video to be doctored and you have proved your talent in this. How much do you charge for the same? #sarcasm
ranzo151	RT @JeanetteJing: @Twitlertwit Oh yeah, tough times for them! #sarcasm https://twitter.com/JeanetteJing/status/680316605272723457
AmyOliviaSoule	I love clients. #sarcasm #designerproblem #itsmonday
Kaminasq	Wow I have 25 followers thanks Twitter for letting me now #sarcasm
analizfeliz	@lolagomezucla @onesarahjones @DEdwardBeck always nice speaking to incredibly educated women who know how to argue. #sarcasm #namecalling
jezzy2727	@SoVeryBritish I get Jenny Kerry Kelly anything but my name, Gerrie. If I'm ever asked how to spell it I reply 'however u like' #sarcasm X
Laura_LEGames	@JaseWolf @Magiquiz my celebrity soulmate is Brad Pitt.. I am really glad.. #sarcasm 😂😂
MariaAsvesta	RT @EtsyLovely: The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/YBS6s
WendyMatty	So the color run is in Hershey the day of graduation. #great. #sarcasm
Dah_knee	@IanFurnessSea everyone must be on their lunch break #sarcasm
lace_lisa	Overweight guy wearing a 'Mr Greedy' t-shirt at the gym has actually made my night.😂✌ #banter #sarcasm
jlgarzon1	@yarbroughoshea She marched in a gay pride parade back before same-sex marriage was legal anywhere on Earth. What a homophobe! Lol #sarcasm
greeneyAL	Weird, I've never seen Neville and the Lucha Dragons wrestle in a 6 man tag before. #sarcasm #twilightzone #WWE #Raw
Tonycancelliere	RT @Azzric: @Tonycancelliere Oh, Bray is in this match. That changes EVERYTHING! #sarcasm
kmad316	RT @jimmykorderas: Man that whole opening segment was soooo predictable! #sarcasm
Atheist4Animals	@JBH5XOX Ha ha at your bio! Sorry. I take the rest of your statement as #sarcasm.
NoLongerVerbose	Yeh leave the squid... it won't take long to prep at all #mkr you're so good with your timing #sarcasm
rb_IM5willjay	What a productive daaayy! hahaha pls take note of the #sarcasm looool XD
ElliottRHams	RT @richard_landes: grammar is irrelevant to social justice, you fascist elitist prig. #sarcasm https://twitter.com/resnikoff/status/701859802037796864
TLT16	Whenever I ask my husband a question he says, "If only we knew a librarian to look that up for you." #nothelpful #sarcasm
loliimryan	at least my body is letting me get sick over the course of a few days instead of overnight.. #sarcasm #dying
specialk3483	being on hold with the social security office is fun #sarcasm
bruins_514	@jrsylvest Parents of the Year #sarcasm
IAmTheDamnShow	Today has been so much fun so far So much FUCKING FUN I wish this day would never end at work #sarcasm
MAnotGinger	@bloodless_coup i use the #sarcasm just in case 😊
AngryBlkManDC	A shooting on the Green Line at Anacostia Metro Station. Shocking. #sarcasm
SomethingGaelic	FYI, GOP, the President is not technically a lame duck for NINE MONTHS. Thanks for doing your jobs. #sarcasm
jwildeboer	@glynmoody @TheOnion @ggreenwald @the_intercept no brave soldiers from that university. #sarcasm
trey_workman	Closing GITMO is a great idea @POTUS ... I'm sure asking terrorists nicely will work when getting info out of them #sarcasm
jeffsiegel	Critics: Peabody can no longer be counted on to clean up coal mines http://midwestenergynews.com/2016/02/23/critics-peabody-can-no-longer-be-counted-on-to-clean-up-coal-mines/ Imagine that! #sarcasm #cleanenergy
johno660	Wallcott has been on the pitch for over 15 minutes and hasn't touched the ball once.....great players lets take him to the euros....#sarcasm
mccoma	I alway love to read comments of the form: "I really hate that guy and he's scum, but he does make some good points". #sarcasm
VintagebyPound3	Vintage Set of 3 Comical Desk Signs by VintageByThePound http://etsy.me/1SRTf0n via @Etsy #vintage #desk #office #sarcasm #coffee #work
PeanutBCup	And cheers to the social welfare for informing me that I don't get paid for the first 6 days of sick leave #sarcasm
DoveoftheFlock	@Couchmaster3000 @nutsaq What, that the evil feminists are coming for the right to say mean things on the Internet? #sarcasm
southernms69	But she's so damn smart #sarcasm https://twitter.com/bookishbren/status/702310084450193408
WarofTheWalshy	@NakBananas @patcondell @MaryamNamazie Same with China, but nope, single out one group as "bringing rape". Def not bigoted #sarcasm
jakelandry881	RT @tonyroma01: Two really trustworthy people right here, @Grahamrocks10 @tylerpasnick71 #sarcasm
Trp345dt6s	RT @JeanetteJing: "People aren't dumb. Why in God's name does Wall Street make huge campaign contributions?" -#Bernie2016 #sarcasm https://…
2002Love5sos	RT @baileigh_marie_: @5SOSVoteStats they TOTALLY deserve the #BestFanArmy award! #sarcasm #5SOSFam #iHeartAwards http://twitter.com/baileigh_marie_/status/702356913904881664/photo/1
JasperKoole97	2x the #nuggets awesome defense shut down DeMarcus cousins. No 40 pt games vs Denver. #domination #sarcasm https://twitter.com/ESPNStatsInfo/status/702356256846180352
ulisesjorge	@MattBatzel So you're saying he still has a chance if he gets back in, right..? #sarcasm
Truth_Quest30	@AmazonHelp My tweet was to @cbs I suggested to them maybe @amazon could help with their website. #sarcasm
jetblack_malum	RT @baileigh_marie_: @5SOSVoteStats they TOTALLY deserve the #BestFanArmy award! #sarcasm #5SOSFam #iHeartAwards http://twitter.com/baileigh_marie_/status/702356913904881664/photo/1
lenardgamergate	We use condoms #sarcasm https://twitter.com/madmonk829/status/702342125241942018
Dollar1075	I just wished that Gods of Egypt was a little heavier on the CGI effects #sarcasm
frasermorgan7	@Dominos_UK didnt realise a 24 hour sicknes and vomiting session for my wife and I came free with my order. Cheers though!! #sarcasm #raging
yycfoldingcycle	@SpacePootler Was especially nice when Canada required British get Canadian citizenship. Then we renounced the Queen. #sarcasm #heritage
Dish_26	The 5th language I speak #sarcasm #minions http://twitter.com/Dish_26/status/702445947469619200/photo/1
Witticisms_R_us	Alien coffee mug, enjoy the probing, alien probing, sci fi, geekery, UFO… http://tuppu.net/9396b6e8 #sarcasm #funnypix http://twitter.com/Witticisms_R_us/status/702451018190102528/photo/1
bzwills	I love my bank that charges u an overdraft THEN emails u the next day about the overdraft So u fix it but too bad #sarcasm @BankofAmerica
Atalanteruns	Put MEN in those crates, they created them. #sarcasm Extra benefit: peace on this planet like forever. LOL https://lnkd.in/bvuEMpG
Zarillo	Now you got "Love" , "Laugh" , "Wow" , "Sad" and "Angry" on Facebook. Innovations the World need... #sarcasm https://twitter.com/Variety/status/702490494807441408
hollithacker	RT @lk_cheeta: OMG THERE IS A SNOWSTORM COMING. WE ARE ALL GOING TO DIE. SAY BYE TO YOUR FAMILY MEMBERS. #sarcasm
RichardPFisher	RT @petebellamy: I tell you what's really going to make me tune in on a Sunday - a different qualifying format on the Saturday #sarcasm #bb…
Sanashoukat3	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
kevolution	Curious. Does anyone know who fights this weekend? #sarcasm
ElJejdkdjdj	RT @baileigh_marie_: @5SOSVoteStats they TOTALLY deserve the #BestFanArmy award! #sarcasm #5SOSFam #iHeartAwards http://twitter.com/baileigh_marie_/status/702356913904881664/photo/1
sulemani_keeda	Internet is freakin hilarious! RT, if you might. #funny #rofl #sarcasm http://twitter.com/sulemani_keeda/status/702626600647393280/photo/1
Witticisms_R_us	Mature coffee mug, offensive mug, rooster mug, rock out coffee mug,… http://tuppu.net/de8d2776 #sarcasm #WitticismsRus http://twitter.com/Witticisms_R_us/status/702632212173164544/photo/1
cruzlance10	One of the boys? O one of the boys ang target mo? Naks, iba na yan. #sarcasm #lifejokes
nalanitram	Hey @Delta, thanks for the notification that my flight (dl4259) was cancelled tonight. #sarcasm
wit_twitt	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
Jessejim_	Getting sick is the best #sarcasm
MaxBenson5	Wow, conversations are going to be SO much more complex and productive with these new emoji's. Thanks FB ❤️😄😯😥😡 #sarcasm
cynthiahtso	Gee, I know exactly what episode this is. Thanks Cox Guide. #Castle #sarcasm http://twitter.com/cynthiahtso/status/702719592406216704/photo/1
BlackieKTA	RT @LunaVeg87: @realDonaldTrump Right, and if the sun is real, why is it getting dark? #sarcasm
CrestonQ	RT @JeanetteJing: @workingpoor2016 @BarackObama @JeffDSachs Ah yes remember it well. #sarcasm https://medium.com/@JeanetteJing/obama-s-doj-should-indict-hillary-clinton-now-1adfa33ee8b2#.vibs3pyev
NijiiroNeko_	I am the epitome of a calm and collected gamer, honest. #sarcasm
PositivelyJoan	RT @JeanetteJing: "People aren't dumb. Why in God's name does Wall Street make huge campaign contributions?" -#Bernie2016 #sarcasm https://…
_disco	Spending a day with Microsoft. You know how I love the enterprise! #insert #sarcasm 👍 http://twitter.com/_disco/status/702796599756324864/photo/1
TifaMai	I never stop amazing myself. Finished a paper in 4 hours. That's it? Why didn't I start earlier? LOO #sarcasm #neverlearn 😂
ShepardUk	@British_Airways No thanks I'm enjoying the retro experience using faxes again #sarcasm
LaMonicaBuzz	$HPQ down 5% #premarket following earnings. Carly Fiorina-Meg Whitman GOP ticket in 2020? #sarcasm
courtneyglen__	It's always fun when your muscles are torn and filling up with blood & fluid. #sarcasm
snowflake1138	@Brennen_S yeah, you need more emojis like Fuckbook. #sarcasm
mikeag96	@ChronBrianSmith it's about time! I always thought we had too many damn Protestants on the Texans and that was the whole problem! #sarcasm
KeithBoj	Too bad Weber is gone, we could've packaged him up with Ennis + 2nd for fowler, #sarcasm https://twitter.com/2itb_buffalo/status/702895311312789504
ReneilweRuth	@Letho_Malinga @Da_Pah23 @leratokganyago @METROFMSA @kaizerkganyago She did NOT deny.. she answered your Q that "Nobody" knows. #sarcasm duh
eligdeon	4 mo in, the Lib gov is *literally* a disaster for keeping/not keeping promises and for failing to implement their entire platform. #sarcasm
jmsierra	@MaxLucado Welcome to the joys of a viral hit! #sarcasm :-) #FirstWorldProblem Congrats on the excellent perspective! Well said!
Spicer8257	RT @SaltyPatriot7: Who's @MittRomney? #sarcasm #WakeUpAmerica #MakeAmericaGreatAgain #TrumpTrain #Trump2016 http://twitter.com/SaltyPatriot7/status/702947248909344768/photo/1
LLinda_W	Everyone knows there are no Asian actors with Martial Arts skills. #sarcasm #racismatitsbest https://twitter.com/xceteras/status/702949958874300416
krazywane	When you're out of ideas, just do what everyone else does, recycle an old one! Remakes, Prequels, and Sequels....ingenious!!!! #sarcasm
seasontruong	I really do love being put on pause while facetiming someone. #sarcasm
AlliEvolution	Kanye in an online feud? Shocking! #sarcasm https://twitter.com/globeandmail/status/702987748463001600
levyaitken	@MsKariba do your really? #sarcasm
mehaas50	Ho hum another shooting #sarcasm font https://twitter.com/cknw/status/703029077423165440
cjnkira	RT @CultusMusicorum: @HillaryClinton @alfranken Ah #sarcasm. Sorry Al, Bernie has the Jewish vote locked up. Shame on you using standup for…
ColinParent	Don't worry, we'll solve that by preventing new homes, somehow. #sarcasm #PlanDiego https://twitter.com/sdurban/status/703036628495806464
chris_s91	@hardball_chris keeps asking these annoying questions of pols like "How do you get that/them through the Senate?" #sarcasm #thismatters
sstanner61	@guypbenson @EWErickson @hughhewitt Doesn't he just ooze #presidential ? #sarcasm
PraveenaSridhar	@KanchanSays but what will pol-science students do without a "lab".where will they practice politics 😉@suhasd1988 @dna #sarcasm
Witticisms_R_us	Rude mug, funny coffee mug, moist, the word moist, gross words, sarcastic… http://tuppu.net/55c4af94 #awesome #sarcasm http://twitter.com/Witticisms_R_us/status/703115353509867521/photo/1
4Nats	Omg I so did not know he was playing #sarcasm https://twitter.com/foxfootylive/status/703116172313518081
PowerUpNG	RT @Mustay: @omolojaayo Don't worry, just be patient. Ppl have diff definitons of patience. #sarcasm | @CPCNig @least @Gidi_Traffic @PowerU…
silent_no_longr	@JulianBurnside Look at those heartless Aussies helping that poor defenseless child. Horrific!! #sarcasm in case you missed it!!
RamjiPunewale	@smritiirani khoob mil bathenge three friends @BDUTT @sardesairajdeep and @ashutosh83B ;) #humor #sarcasm
a_wrighton	Callon is back, #sarcasm intact. Check out the #Allegiance sample on #bookbuzzr #mustread #fantasy #dragon - http://bit.ly/1f8gGLV
DJButtaINTHEMIX	#mood #sarcasm lol I'm tired of that commercial but congrats Oprah! Lolol https://www.instagram.com/p/BCP8BvrCThB/
savoidakis	Way to go, Albania. #sarcasm https://twitter.com/ekathimerini/status/703189927811350529
PollicHomestead	@LindZLou24 silence? Ha! I enjoy the morning crabbies, and their nagging. #sarcasm #momlife #momofboys #mommyproblems
Capitalism_4All	@HMCM611 Facts: 2008 economic crash.. thanks Glass Steagall... sure no bankers or republicans pushed for it.... #sarcasm
TinyPopping	RT @CJPatruno: @realDonaldTrump you must be proud about the #kkk backing your campaign. #wtf #trump #sarcasmmeant #sarcasm
ItsTiffanyBangs	RT @CJPatruno: @realDonaldTrump you must be proud about the #kkk backing your campaign. #wtf #trump #sarcasmmeant #sarcasm
ravimathur15	agree with both the facets - sarcasm as well as UI #tech #humour #sarcasm #quote https://twitter.com/kunalb11/status/703259232661954561
MartinezSofia__	RT @CJPatruno: @realDonaldTrump you must be proud about the #kkk backing your campaign. #wtf #trump #sarcasmmeant #sarcasm
2Big2FailSports	@ThisIsChucker sounds like someone offered him VP position, wow what an endorsement #sarcasm
tjm0072003	All liberals do that.... #sarcasm RT Trump bashes NY Times https://twitter.com/SteveSGoddard/status/703282339212693504
MadsWagner	American politics.. All about substance #sarcasm https://twitter.com/wsj/status/703297758397112320
michyv69	RT @coreycopp: Surely Gianni Infantino is the man to put soccer ahead of money and the world ahead of Europe #sarcasm #FIFAelection https:/…
winemanboy	We miss the days wen wine used 2 taste of coconut bc of the massive amount of wood used. 200% new wood? #sarcasm http://twitter.com/winemanboy/status/703321987272159233/photo/1
1982_Fred	@Independent Affluent privilege trumps decency once again. Well done UK. #sarcasm #rich #privilege #deviant
usacsmret	RT @TNople: @usacsmret @FDRLST whew! A whopping $57k! That's a true merican' hero! #sarcasm #eyeroll #liarforvotes @realDonaldTrump
jalankelley	@realDonaldTrump probably the first to ever wear makeup on tv, huh. You got'em good. #sarcasm #petty #classless
79reasons	Jeez I wonder why? #sarcasm https://twitter.com/burdentruth/status/703352546652512256
yonisramire	RT @WBBBPB: @CNNPolitics @CNN Thanks so much for covering what matters. #sarcasm Your love affair with Trump coverage for ratings is appall…
DanMack12	@mariastephanos cake and ice cream just before a marathon! I'm sure I'll do well #sarcasm
ObstaclesAhead	New High-Protein, Low-Calorie Beer http://buff.ly/1Up3itj The answers to all of my prayers. #sarcasm http://twitter.com/ObstaclesAhead/status/703390937121222658/photo/1
stacia_mary	Wait what! Snap chat has a filter that switches your faces around!! I had no idea!! People should really put it up on their story!! #sarcasm
MartyJZero	Imagine if you didn't have to tag something with #sarcasm I really lament the sad, terrible death of satire in society.
TroyFauber	RT @Death2RapeGangs: ANOTHER MOHAMMED JAILED 7yrs Heroin Dealer- Must Pay 80K ( sure he will #sarcasm #MUSLIMS http://www.examiner.co.uk/news/west-yorkshire-news/drug-dealer-asad-mohammed-daud-10956036 htt…
inkedidi	I'm fucking incredible #sarcasm
slasher48	RT @ensigncaitlin: Gotta love the str8s of Phoenix #sarcasm #transphobia https://twitter.com/tslove602/status/703491178952396800
PNut2023	@nikestore #SNKRS f'd up when you let android in. #thanks #sarcasm @adidas @UnderArmour
jodie_says	Ugh I just love standing in the freezing cold for 20 minutes because the bus is late again #sarcasm
kmmelch	Just received the worst customer service ever @BuschGardens so glad that I have an annual pass now #sarcasm
YNB	@ShareisCorner Being proud of being so annoying that folks never want to see anything from them again? Yeah, that's awesome. #sarcasm
dellshane	Thx @RachelNotley for yet again adding to the burdens of suffering Albertans by raising more taxes. Your leadership is appreciated #sarcasm
drewroark32	#AlwaysTrump because fascism is now en vogue. It's worked so well in the past. #sarcasm #bunchadummies
Gallobhai	Congratulations @rte for the objective & unbiased coverage of the election count #ge16 #sarcasm
cbzoomer	@AnnikaCorbert @Magpie1954nBird @TurnbullMalcolm @TonyAbbottMHR yeah their ability to disguise it incredible no sniping right sure #sarcasm
kittiful	ARE YOU HAVING FUN? Lol #sarcasm #noellejournals #nagpakitasirow!!! #collegebuddies #buddi… https://www.instagram.com/p/BCTtqMjil5B/ http://twitter.com/kittiful/status/703722198415089664/photo/1
WesleyGeerlinks	Epic battle in Montréal between the 22nd and 29th ranked teams in the NHL tonight. #TMLtalk #sarcasm #habsfall
Squeege800	The fray to play now at the stadium series... nothing gets my blood pumping like the fray! #sarcasm #cmonman
artlaflamme	@TheWeirdTeacher @JessLif @julnilsmith I'm saddened that his #PLN and #edchat did not save him. #sarcasm
hiddentao	@Snowden Ey, what about Morgan Stanley? Everyone’s always praising Goldman :/ #sarcasm
canuck4liberty	@robcesternino @roundhoward Awww no super montage trip back to NYC w/@JeffProbst to count the votes? #sarcasm #SurvivorPalau #teos #RHAP
Austonicus	I love being at work at 3 am, fuck, it just makes my week really. #sarcasm #whyimleavingthisjob
TongueUnleashed	Glad the EU is taking action in this, that they're so competent. #sarcasm #migrantcrisis https://twitter.com/FRANCE24/status/703877077833887744
emvictoria98	I'm such a sympathetic friend when amber is hungover😂😂😂 #sarcasm
lochlan_bennett	My life. #browgame #eyebrows #sarcasm #restingbitchface #qualities #lochlond @ London, United… https://www.instagram.com/p/BCVAmRxRFPC/
MillieBryony	Got to love engineering works - nearly home #shattered #sarcasm @VirginTrains http://twitter.com/MillieBryony/status/703955435087392768/photo/1
182target	@forgetcape @VirginTrains oh well that makes it ok then! #sarcasm
JShahryar	"I don't know David Duke, but I know every single Muslim in the world and they're all terrorists." - Trump #sarcasm
MisterDoubleJ	@bcbluecon @BillTufts @ezralevant Like Harper's wknd in NYC, I'm sure Media Party will get us a full cost breakdown for it, right? #sarcasm
dukesjr69	Oh Rinaldo! Jim, Jim, JIM!!! Get him! Has grit and fights! He's perfect! He'll help the #Pens win the cup! #sarcasm https://twitter.com/NHLonNBCSports/status/704002705442738176
GiantAKS	Today's announcement clears the way for Peyton to return to the Colts for one more year. Hold that clipboard Andrew. #sarcasm
Indigounleashed	Here you go, everyone! Some #actualnews Good thing there isn't anything else going on in the world today! #sarcasm https://twitter.com/buzzfeed/status/703784456843165696
MyManMrSanders	@HarryWiddifield @SenSanders So big money capitalism in MY congress?! #sarcasm
BellaBeka	You realize you're an #entertainer now, don't you? #wakeup #sarcasm #sorrynotsorry
TammyVornbrock	The dangers of #sarcasm https://www.psychologytoday.com/blog/think-well/201206/think-sarcasm-is-funny-think-again
MichaelTBassman	I just love updating my resume. #sarcasm #newbeginnings #newlife #michaeltbassman #chicagogram @… https://www.instagram.com/p/BCWTkqNGqLU/
MiriamDanielle9	Not! Caught the #sarcasm but Truly #WhichHillary https://twitter.com/De4Bernie/status/703684924730155010
PhilCheeseQuake	This has #SteveAvery written all over it... 🙄 #sarcasm #Dateline
ZeeCoder	@rossmasters @steam_games easily worth the price #sarcasm
iraheinichen	Glad to see Sci Fi is continuing its tradition of being acknowledged for technical achievement and nothing else (so far) #sarcasm
danasquare	RT @fangirlishness: The Oscars are so good this year. #sarcasm #whydotheyalwaysdrag http://twitter.com/fangirlishness/status/704144055006007296/photo/1
Jlq_10	RT @LatinoVoices: ANOTHER Latino at the #Oscars ! WOW! #OscarsSoWhite #sarcasm #Oscars
Shizuda	No thank you for the pirates? Discrimination :p #Oscars #sarcasm
gobukan	Already *thrilled* to see Tweets about Oscars overcompensating for #OscarsSoWhite ... #sarcasm
latinostrategy	@realDonaldTrump is just trying to stay connected with his "Poorly Educated" voters brigade. #sarcasm #NeverTrump https://twitter.com/politico/status/704172702672748544
TheDouch3	RT @Vincent_Ellis56: OK. 19.4, 6.1, 45% 2P, 37% 3P. Some of best 4th quarter stats in the league. But he sucks. #sarcasm https://t.co/OnOoQ…
sarxnghyo	RT @LunaVeg87: @realDonaldTrump Right, and if the sun is real, why is it getting dark? #sarcasm
paul_woodford_2	RT @Tombx7M: The NFL could use a few more white guys. #Oscars #sarcasm
DavidSHarvey_	RT @virginiahenry18: When your #sarcasm is so #advanced people actually think you are #stupid.. http://crackedpop.com/230924-6622400
cleverlyweird	RT @virginiahenry18: When your #sarcasm is so #advanced people actually think you are #stupid.. http://crackedpop.com/230924-6622400
ErikJThompson	RT @virginiahenry18: When your #sarcasm is so #advanced people actually think you are #stupid.. http://crackedpop.com/230924-6622400
ElizabethWri_	RT @virginiahenry18: When your #sarcasm is so #advanced people actually think you are #stupid.. http://crackedpop.com/230924-6622400
BartMelville	RT @JeanetteJing: "People aren't dumb. Why in God's name does Wall Street make huge campaign contributions?" -#Bernie2016 #sarcasm https://…
JohnCzer1	RT @JeanetteJing: "People aren't dumb. Why in God's name does Wall Street make huge campaign contributions?" -#Bernie2016 #sarcasm https://…
Gay_PharmD	There's a group of white men protesting abortion on my health science campus. This should end well... #sarcasm
LeoJL8	Oh okkkkk I get it nowwwww #sarcasm https://twitter.com/real_espnlebrun/status/704353226729132032
Witticisms_R_us	You mad bro coffee mug, novelty coffee mug, funny coffee mug, gift for h… http://tuppu.net/a9e41c1f #funnypix #sarcasm http://twitter.com/Witticisms_R_us/status/704368721138069504/photo/1
bynsny	RT @MyDogSnots: I don't know why TSN has people to break down trades. Just show their HERO charts. That IS all you need to know. #sarcasm
SetonHallFan	RT @JPGuerette: BREAKING: Seton Hall gets no respect from national poll. Shocked. #sarcasm #shbb
karizzle_13	@ambertulloch4 I figured it wasn't not a total idiot I forgot to add #sarcasm to the last one #whoops
minister65	@NickGossNESN He did nothing to help the Flames when Gio went down last year. #sarcasm @FriedgeHNIC
Smelborp2016	Love it when a stranger asks me "where's your boyfriend? Why don't you have a boyfriend?" 😑 #sarcasm #heteronormativity
JJJabroni	@jpmorans @Terrence1972 @JesseKage You know @BTLSRadio is pissed, otherwise, he would be a good company man and promote it. #sarcasm
SueZ821	@realDonaldTrump - yes! Divide the nation and you will conquer #sarcasm
jedimarkus77	@DougKass You don't want to buy the $RUT ? #sarcasm 50 day simple moving average 1045.20 2016 February Traded High (2/29 M) 1044.91205
chelldreaa	RT @tumblrtrashcan: teacher: you guys never do your homework. me: I WONDER WHY. #tumblr #relatable #follow #funny #sarcasm
SutterDerek	So excited for spring break! I've really missed the concrete life #sarcasm #workgrindforbreak
vmetu	@nickconfessore @AnnCoulter not at all #sarcasm
