liz2halle8liz4	Sorry. Forgot the #sarcasm quotes around "kinda". https://twitter.com/answerallman/status/804107517194223616
JRGrantPerry	RT @intjdesigner: Go home, @GreatClips. You're drunk. #waronchrisTmas #sarcasm https://twitter.com/intjdesigner/status/812696925988421632/photo/1
rekaria01	Omg laughed so hard on this😂😂 #sarcasm #humour @Failedimages https://twitter.com/rekaria01/status/813131000473591812/photo/1
wit_twitt	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
that_subway_guy	@AskPlayStation u guys are as useful as tits on a fish 100% worth my psn + subscription and should have got an Xbox. U gonna help? #sarcasm
FANMAN_KSU	I'm just happy that my best friends aren't texting me how hot, Hunts daughter is. That would be super weird. 😂 #ChiefsKingdom #sarcasm
CraigReski	Broken down with my G4Y bodyguards #princeproblems #justlikeus #sarcasm https://twitter.com/CraigReski/status/813222292754874368/photo/1
WelshTeacup	Calling a vast swath of the country idiots, thick, stupid, dumb etc is a great way to gain support for your ideas.. #sarcasm
StanGoodvibes	@khunterg @southfronteng yeah from all those security briefings he gets in between Twitter and SNL and golf and running Trump Inc #sarcasm
CoffeeJunkieV	New video coming :-) Merry Christmas! :-D #YOLO #Youtube #vlogger #vlog #sarcasm #comedy
I_Love_Atheism	@KagroX @zibeeb Be careful! I was banned for 24 hours for tweeting He*l H*tler, which was sheer #sarcasm. Bots don't get sarcasm..
paulfeesey	Yep, it's all on you Donald #sarcasm https://twitter.com/realdonaldtrump/status/813527932165558273
Shenanigans1313	I just love when guys adjust their balls in public. #sarcasm
charmaine_vos	Irony? Pass up on a pun? As writers do #sarcasm Suicide? Yeah let's just gloss over mental health issues, that wil… https://twitter.com/i/web/status/813571054501294080
norwind	Anyway, who cares? <#sarcasm> https://twitter.com/sensanders/status/813169422991065088
EJLandwehr	RT @CrowleyAntmarga: @GaryLegum Do not speak to our new savior & overlord that way. #sarcasm
thebeaujar	#ILoveJenniferLawrenceBecause I too enjoy desecrating Hawaiian religious sites and being a transphobic asshole #sarcasm
afif_fuad17	Who cares about halal and syubhah, eat is everything #sarcasm #PostAnUnpopularFoodOpinion
omengue	RT @d4v3nu11: Don't worry, "experts" already told you that fingerprint lock systems are "secure" #sarcasm https://twitter.com/KeoNovak/status/812761779663085568
nxadm	RT @d4v3nu11: Don't worry, "experts" already told you that fingerprint lock systems are "secure" #sarcasm https://twitter.com/KeoNovak/status/812761779663085568
JaynesPete	RT @BigArchRFC1690: There's no ulterior motives honest ! #sarcasm @TRobinsonNewEra @XxPLWxX https://twitter.com/BigArchRFC1690/status/813708362005233664/photo/1
beckijeanchamb	Best part of waking up early is looking forward to worrying for the rest of the day #holidays #sarcasm
jojo41606	Aww. All those Christmas engagement rings. How original! #not #sarcasm
PereraWorld	#lol #funny #comedy #sarcasm rain drop drop top when I met you girl my heart went knock knock now them butterflie… https://twitter.com/TheFunnyTeens/status/813762808500383744/photo/1
PereraWorld	#lol #funny #comedy #sarcasm RT postingcuteness: We're on Facebook now! Like us for non-stop cute and adorable ani… http://facebook.com/postingcuteness
DavidHennessy5	Best musical in Waterford. Ha ha ha. I bought myself roses. #sarcasm https://twitter.com/DavidHennessy5/status/813884949698899968/photo/1
KhalilGaspard	If ignorance is bliss then you must be the happiest person on this planet. #sarcasm #jokes @kg_lv
pir8gold	Dills act, Moonbeam, did Cali proud.. #sarcasm https://twitter.com/petefrt/status/813884748397473792
HandlebarOXD	#LaLuchadora is the most successful debuting local superstar in history #sarcasm #SDLive
leahmarie_72691	Omg..what kind of of weirdos do you have working for you!? #sarcasm #itstillreallyhurts https://twitter.com/jbncloesdaddy/status/813872955675574276
lefty_script	27/31 Real Housewives of Hand Lettering #rhohl #sarcasm • • #leftyscriptbrushes 🖌#LSchalk https://www.instagram.com/p/BOi6HtAB3mb/
mec974	@AATJerseyBlog @AGrossRecord well clearly coming into this year we all expected this. This is a rebuild. #sarcasm.
PereraWorld	#lol #funny #comedy #sarcasm Rt if u wish u were 50 margaritas deep in Mexico right now.
PhilWalkerInMD	.@EricBoehlert @FoxNews @FoxNewsInsider I'm waiting for a #Trump tweet to take credit for that stat. #sarcasm #minorityPresident
msLadyFatitay	@KFCPhilippines perfect way to treat customers is to reject/ignore their needs! Very good customer service & experience! Haha! #sarcasm
san17ssr	#Tongue-in-cheek #sarcasm ! https://www.sptulsian.com/article/90500/tongue-in-cheek-sarcasm
Zachariuswho	@alcebaid @cbschicago It's because Chicago has lax gun laws when compared to the rest of the US. #sarcasm
Mamaknockuout	#facebook you are SUPPOSE to connect with real ppl #twitter fck it any idiot can #tweet. #sarcasm is my language. And #pplaredumb
CoryLCowan	CLINTONS BUSTED IN MASSIVE $145 MILLION SCANDAL WITH RUSSIA - Glad Canada doesn't have pay to play going on #sarcasm http://americantoday.news/clintons-busted-in-massive-145-million-scandal-with-russia/
joshuaindc	Another day on the mean streets of twitter. #hard #sarcasm
Omisca	Apparently "light mayo" means "no lettuce." #fightfor15 #raisethewage #minimumwage #sarcasm
abird06	@_SONSOFLINCOLN this must be #fakenews cause CNN says Islam is the religion of peace. #sarcasm
martinapavone	In my #pastlife i was a #solarpanel #sarcasm #comedy #innovation #beatme
tylerrudek	Thanks @OldNavy for making returns the most difficult thing ever. You guys are awesome. #sarcasm #disappointed #customerservicefail
XCWarrior1	@bradgallaway Didn't you know? Once you become president, everything you say is true + opposing views are wrong. So wrong. So Sad. #sarcasm
Hauntedghostie	RT @sbbitchess: Some people just need a high five In the face with a chair. 😛 #bitch #sarcasm #psycho
ruphrect	RT @MdmAbsentMinded: .@PhilipSoos @MarkPlackett1 Is this meant to he #sarcasm ? Wud've thought this was more an indication of low paid, ins…
TradersCom	@BeckInvestLLC they do buy our war machines though ... #sarcasm
JuliWenger	Maybe I'm old but these drive me nuts! #wordsIdontget #2016 #yeg #sarcasm https://twitter.com/JuliWenger/status/814258938736558081/photo/1
rduff47	@kbyerREP I miss CJRD meetings. So much fun. #sarcasm
KatKirisaki	@RogersBase Omg Pedro being in the chapter is such a shock its the pinacle of the whole arc in one thumbnail such a spoiler #sarcasm
KellyM_78	Let's let a convicted sex offender on parole - have a 25k bond for New rape accusations #goodworkjudge #sarcasm… https://twitter.com/i/web/status/814281758837448704
CoreyChambas	I feel so bad for Tom Crean #sarcasm https://twitter.com/jaypo1961/status/814285804373585920
PereraWorld	#lol #funny #comedy #sarcasm This made my day😇http://swankhipgossip.com/g5cl
KRJohnson42	@ArifHasanNFL Asiata has a cousin that plays guard for Utah. Maybe our OL fix is on the roster... #sarcasm
Lamb_Haden	From what I've seen on my Twitter feed, refs have been good this game. #sarcasm
PereraWorld	#lol #funny #comedy #sarcasm how am i suppose to control my life when i cant even control my hair wtf
brienthess	@realDonaldTrump @politico No more of your social commentary? Beneath the toupeé lies the mind of a thinker... #sarcasm
PereraWorld	#lol #funny #comedy #sarcasm RT postingcuteness: Am I the only one that thinks this is the cutest thing ever? https://twitter.com/postingcuteness/status/814130634205630464/photo/1
ckgeorgia	@JohnLockesKnife @Bernie_Facts You must choose a club so one of the two can rule based on the donors' wishes. #sarcasm #progressivesunite
exgag	Gag Of The Day. #exgag #exgagtales #exgagjoke #sarcasm #exgagvideo #relatable #scribbletale #gagoftheday #humour… https://twitter.com/i/web/status/814369184335482880
ChrisJThorley	Thanks for all the good luck messages this morning.. #sarcasm
FauxJPapuchis	@HuskerExtraSip Yeah, you really peeled that onion. #sarcasm
Witticisms_R_us	I'm a grown-up T-shirt http://tuppu.net/3ef21088 #funnygift #WitticismsRus #sarcasm #Mens_t_shirt https://twitter.com/Witticisms_R_us/status/814426696338305024/photo/1
Brindolyn	Well that's just peachy... #sarcasm #WTForecast https://twitter.com/Brindolyn/status/814432681551339520/photo/1
CrowleyAntmarga	@sparksjls why so picky? #sarcasm
apdunbar	Ah darn, my to-do list today includes catching up on blogs and sitting in front of the TV. Shoot. #sarcasm #Ilovebeingoff
chromeit3	@MSNBC I was told that Hillary was going to be my next president and it caused me to have a breakdown. #sarcasm
adzeerulaslam	@maychuasiewmei mat runner for my friends 💁 and no charges 😁 #sarcasm
BernieLBJ12	@MediaBiasPolice @PeterBeinart do u even care that u sound incredibly stupid? An yeah PBO is a Kenyan born Muslim right? #sarcasm an MUTE! 😤
jaynesbrains	Wow - poor people make good decisions? Who knew? #sarcasm https://twitter.com/jeremycliu/status/810231715385864192
GrouchyColitis	Don't plan any New Year's resolutions from me! Plan on staying sarcastic grouchy #crohns #colitis survivor fun loving gal #sarcasm #humor
MichalTich2	@lennutrajektoor There is no doubt that the GRU wants America Greate Again. :/= #sarcasm
RJ_STL	Yeah. Like he would know! #sarcasm https://twitter.com/RJ_STL/status/814584637636956161/photo/1
lonethumper	@TimesNow clearly this is fake news by modi to distract from fake news of Bengal riots #sarcasm #DeMonetisation
DamienSakurov	@PharaohWasTaken @AustenMarieTV So, ignore and let it keep happening and/or don't speak up if it happens to someone else? Got it #sarcasm
CindyCallinsky	I didn't see that coming. #sarcasm https://twitter.com/CliffShep/status/814636843366957056
LindsaySL34	Happy to see Fox News as hung up on celebrities not wanting to attend Trump's inaugural on air as they are online. #hardhitting #sarcasm
Potsy_70	@Reevespm78 @Whalerman12 @AllHabs it sure is #sarcasm
alancabra	Turbans? What's next Hibi-jabis? http://bit.ly/2ijuP1x #hibijabis #sikh #sarcasm
Simply_Kat	Binging on McD's...#noragrets 😂😂#sarcasm
LuvBeingChintan	I think #Twitter is broken. I #tweeted and no one #liked or #Retweeted it even though I refreshed it a few times. #sarcasm
dagreeno	@Clare012292781 @MrReb3lYT @JimmyHavoc yeah, every child that has ever been violent has seen this video. It's all their fault #sarcasm
anuraj700	Bhim app launched Name inspired by Chota Bheem Or B R Ambedkar!!! Who knows?? #bhim #sarcasm #50daysofDeMonetisation #50DaysNoCash
GamestormVR	Six Cool bits of Trivia about #SteamHammerVR for the #HTCVIVE #2 It all started from this brilliant sketch #sarcasm… https://twitter.com/i/web/status/814803407328444418
loxi1229	@DarrylMadison @realDonaldTrump Zzzzzz. Boring! How about we go back 2 the rape victims who have all disappeared w/their claims? #sarcasm
JJ1982	@SitecomEuropeBv I'm on my second outdoor cam by now, still won't work (different problem) and no support! Great products & service #sarcasm
royalbluesmiles	@KellyannePolls @realDonaldTrump @mike_pence How can this be, we never saw it on the news! Media would never keep this from is! #sarcasm 😜
MandarrCreation	Tell your favorite freak how much you love them, you geek. ;) http://etsy.me/2iN8Djj #etsy #giftidea #relationshipgoals #sarcasm
mcrowwe	Feeling GREAT about having to take the GRE #sarcasm #iwanttodie
MyWitsEndTweet	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
AdamDisher	Nothing like a 2pm kickoff on a Friday to get the juices flowing #Sunbowl #UNCvsStan #sarcasm
roundballreason	Another GREAT start for the Bulls!!! #sarcasm
chrisredone	@NFFC 😂😁😀 brilliant, just brilliant, Nffc are so good I love them #sarcasm
rosewoodat5th	Another year another the #iPhone isnt selling well supply chain cut story. Do these come the same time each year? Wonder why? #sarcasm
NKOTBJKGRL	Bye San Francisco! See ya next year #lol #sarcasm #bye2016 #readyfor2017 #sanfrancisco #bayarea… https://www.instagram.com/p/BOqDnKhhdHp/
emilydufield	I love being the only one out of my friends that is single #sarcasm
HillaryGuess	@zombieninja420 Oh but the CIA said so & they wd never lie,upstanding fellows & gals. #sarcasm of course
NHLChalkTalk	@ReinaDeLaIsla @_Ridley_ that's not reductive at all! #sarcasm
UofMKirwin12	@mgoblog just put that AIR under it like he has been and let them run under it #sarcasm #sortof
heyitsjess98	RT @MadisonHynek: I just love being a second choice. It's my favorite. #sarcasm
flyfromscratch	@EtihadAirways SOCIALMEDIA@ETIHAD, for making complaints? #dontholdyourbreath #oopsIdiditagain #sarcasm
fornach	I think I will stay at home on new years eve. It's because I have no mobile data anymore, not because of my human anxiety. #sarcasm #irony
csipkebogyo	Westfield. Many people. Much busy. Wow. #sarcasm
Chiclanagirl	Good to see you rising to the office you will be holding! #sarcasm https://twitter.com/realdonaldtrump/status/815185071317676033
RF_JohnFields	@PrisonPlanet I'm sorry, Paul, but I'm gonna need to see a vague PDF report full of unsubstantiated allegations and fabricated info #sarcasm
NewarkIllmatic	You guys act like slapping two doors on a charger couldn't have been done years ago. #goodjob #sarcasm https://twitter.com/dodge/status/810967898390810624
johnlepp	Breaking: according to my inbox, apparently TODAY! Is my last day to give this year? Guys? #shocking #fundraising #sarcasm
tdappel	Lee Corso picked against Alabama. He never does that! #sarcasm #collegegameday
ryoung77	RT @RealMichelleT: Well if this isn't just the classiest, humble, most non passive aggressive tweet ever! So mature! #sarcasm #fuck2016 htt…
criblizard1969	RT @RealMichelleT: Well if this isn't just the classiest, humble, most non passive aggressive tweet ever! So mature! #sarcasm #fuck2016 htt…
KimbyHuffy	RT @RealMichelleT: Well if this isn't just the classiest, humble, most non passive aggressive tweet ever! So mature! #sarcasm #fuck2016 htt…
bryanbrake	.@BuzzFeedNews @jamesrbuk in Texas, weird.. #sarcasm
