alllibertynews	RT @tomr373: @DgGage @alllibertynews @TheLibRepublic no way! @Salon would never do that. #sarcasm
nangbaby	@Carrie82087 Yeah, let's just impose modern standards on an old show and redub Duck Tales while we're at it too. #sarcasm
DeniseJorudano	@Serum_Lake @RetroAperture I didnt know that you had such power, much crown! Woah! #sarcasm ;)
gonzalosangil	#Snark #attack: #University students teach #software to #detect #sarcasm | http://arstechnica.com ... | @scoopit http://sco.lt/51PCCn
ellaing	Hey, but they used pink typography, bravo! #sarcasm https://twitter.com/qz/status/690094969198088192
CT4444	@whitegl @business Putin did it? Of course (#sarcasm) Blame Russia. He was double agent! Tennis next? Ban Russia from Wimbledon? Pathetic!
LaidBackCapital	Shocking. #sarcasm https://twitter.com/AP_Politics/status/690122262570221571
kwynn2411	2.5 hours of sleep is sufficient for a 12 hour work day, right? #sarcasm #shootme
Adam_Asher	No way I could this. | Yes. It's #sarcasm. https://twitter.com/inc/status/690146004813926408
_hala	Dear American People, help has arrived :) http://qz.com/598648/researchers-have-developed-an-extremely-effective-sarcasm-detector/ #sarcasm Courtesy of @dbamman & al. #4IR
bucfever56	RT @jeff_ruff: Thanks @Big12Refs for calling all of the fouls on Texas last night so WVU could showcase its FT shooting. #sarcasm
CKelsey333	@StaffordShow Government needs to keep price high so taxes can be directed toward infrastructure improvements. Ha ha ha #sarcasm
SomeRats	RT @myworld_Delena: *receding hairline* is the keyword in this post for #somerwolics ..wonder why? #sarcasm http://twitter.com/myworld_Delena/status/690165552749375488/photo/1
hfxSue	@MoggsUk well that's you well & truly f*cked big lad #sarcasm https://twitter.com/metrouk/status/690161499348795392
TimKelliher01	Now #Emenalo has let the next JT walk out the door 😉! Omg can the club do anything right anymore #CFC #sarcasm https://twitter.com/ChelseaFC/status/690167105296166912
JigarShetty	@KomalNahta Sir what do you mean by "Hero Tushar" ? #sarcasm ? 😅😀😁
kaleimai	RT @carlystrasser: Machine learning at its finest: sarcasm detector developed using #sarcasm tweets http://qz.com/598648/researchers-have-developed-an-extremely-effective-sarcasm-detector/
christinew0930	@TomVH @ESPNStatsInfo #sarcasm ⤴ 👏👏👏👏 #GOBLUE. ..keep up the great work coach. .we know your wheels are intact
100learnings	13 Things I Learned about "The Martian": http://100til.com/view/2022/ #TheMartian #sarcasm
Tomi_Tapio	'Vitally important news': over-65s don't get sarcasm. #sarcasm http://gu.com/p/4fmf9/stw
BitchSlapDog	#Funny The Prescription Coffee Mug Available on AMAZON: http://amzn.to/1eGV92b #funny #humor #sarcasm http://twitter.com/BitchSlapDog/status/690249355081715712/photo/1
kmgarr	@TheBrick Way to leave an 8-month pregnant women with no couch for an entire month. Really great service. You should be proud. #sarcasm
SmithGabriella2	RT @DrJeck: Are they calling for snow tomorrow? I hadn't heard #sarcasm
maddogfitz	@HarrietBaldwin @bigredmatt1011 Oh, the humanity!! #sarcasm
pauloalonso_dev	PCI compliance questionnaires. How I have missed you. #sarcasm
athapar15	@AP @TarekFatah All Saudi clerics r forbidden by Islam!!! #sarcasm Thx 4 sharing #smh after reading this article
Jimmyveritas	@CaultonTudor that's a shame #sarcasm
lhenwood4	RT @BlueWaterDays: "I did not have classified sex with that server." Hillary Clinton #sarcasm
RoscoeIbebell	RT @BlueWaterDays: "I did not have classified sex with that server." Hillary Clinton #sarcasm
carts54	@IBD_ECarson @AHMalcolm @ispencer Makes that well documented Choom Gang thing sound so innocent. #sarcasm. Imagine an 18yr old drinking beer
AmeliousW	Another part of the Democratic establishment #sarcasm https://twitter.com/mayaharris_/status/690328442517200896
okifeelthat	@RADeMita not enough white players wth! boycotting! #sarcasm
nancyflanagan	RT @Stoptesting15: NYS should apply for a Gates Foundation Grant to pay for new standards? #sarcasm https://twitter.com/nancyflanagan/status/689907042950193157
dledon2003	@mikspersson @SarahPalinUSA what planet do you live on? You really don't get #sarcasm or #intelligence #brainwashedFOOL
Earthyfamily	I got my tomato soup!! Just in time to be snowed in again tomorrow. #awesome #sarcasm
wickedbug1127	I'm gonna hang up in a few... Twenty minutes later... Still here!! #sarcasm
jczedwick	@blackhanside but all those draft picks where picks Amy be would make #sarcasm #InReggieWeTrust #BuildThroughTheDraft
criccrazynirav	@ThinkersPad @aamir_khan So he was not wrong there is #intolerance #sarcasm
moejartin0903	@TasiaStephens @paulthecoach1 @shotputtlinco @AbiLucyBurton I'm absolutely sobbing #sarcasm 😂
sholt87	@gibs_david @tassince 39% of whites voted for Obama. 6% of blacks voted for Romney. Clearly whites are racist. #sarcasm
Lucy_m_king	Today I'm grateful for a thesaurus. #excitingtimes #excitingtweets #sarcasm
SuvilSusvirkar	After #SanskariJamesBond, prepare for #SanskariDeadpool. Coming to a theatre near you on Valentines Day. @deadpoolmovie #Deadpool #sarcasm
ibanks95	Yes @SportsCenter please continue showing me highlights of Kobe Bryant scoring 81 on the Raptors 10 years ago. YES I LOVE IT 🙄😒 #sarcasm
DarkTwistedMeow	RT @FERGUSthe_CAT: The attitude and #sarcasm is free, the hug will cost you a treat #NationalHugDay #CatsOfTwitter #jellybellyfriday https:…
MonicaEndicott	I'm SO glad my family answers their phones. 🙄🙃 #sarcasm
kiwitrader24	Ah hah! The REAL reason for today's rally!!! #sarcasm https://twitter.com/livesquawk/status/690572741959905280
14kait	I just love sitting here weekend after weekend doing nothing #sarcasm #nofriends
DaRealBunnyrats	RT @FERGUSthe_CAT: The attitude and #sarcasm is free, the hug will cost you a treat #NationalHugDay #CatsOfTwitter #jellybellyfriday https:…
AmyLBanks	Sarcasm is my new favourite colour 😝 #sarcasm #colour #tryingtobefunny #FridayFeeling
CyM00n	Researchers are training computers to recognize #sarcasm on #Twitter http://goo.gl/fb/42oAUg #culture #internet
RevBliss	@leelonglegs Wow what a great retort #sarcasm So you would rather kids not learn about abortion???
shazxraz	RT @portyhearts: impressive 11,805 at pittodrie tonight #sarcasm
MissSaraMoon	@JoeSnuffie @burniethompson or a gullible face...I thought #sarcasm covered me
TrishG27	Visibility on hwy8 is awesome! #sarcasm @CJOBTraffic @TRAFFICwinnipeg http://twitter.com/TrishG27/status/690675425681346560/photo/1
UncleMemester	Wow, thanks, #WTAP, we'd never known to use a RULER to measure how much snow has fallen! Brilliant! #sarcasm
prlloyd63	@WWOS9 #Lleyton has finally "matured", 15 years ago, he would have called him a #spastic #sarcasm #WWOS #moron
alimahmoodjafri	RT @Razarumi: These are Indians withJewish weapons - didn't you know Salman? #sarcasm https://twitter.com/SALSIKandar/status/690608707382710272
BogrotsBazaar	Tweet, tweet come & smile with us http://shop.spreadshirt.com/BogrotsBazaar/ #onlineshopping #shirts #funny #satire #sarcasm
ashtonraexo	No shit?! 😮 #sarcasm https://twitter.com/bassam_ksa7/status/690694881782685696
HRA926	@haibon_jared I thought one who tweets is referred to as a "twit" , my bad ☹️ #ithinkivebeenoffendingpeople #sarcasm
bellavontrixie	#sarcasm and bad coutouring lost on some people
jtlawrence09	These last few #stlblues starts have been fantastic #sarcasm
dreamitnowdoit	@CNN @Chezmoihoney on a Friday afternoon with a big snowstorm. Smart use of news cycle. #sarcasm
ThePerfectBF1	To be the perfect boyfriend, don't hesitate to hook up with that chick at the bar. I'm 100% sure your girlfriend won't mind at all. #sarcasm
pinkybaby_jade	On the train to my BodyJam class and getting hyped up by this other gal's too loud dance music #train #sarcasm
CHAP_OF_STEEL	@Lolly_Knickers we need a #sarcasm thingy to press ;-)
FrenchPuppy8	RT @ashtonraexo: No shit?! 😮 #sarcasm https://twitter.com/bassam_ksa7/status/690694881782685696
chrisgore11	So true #sarcasm #sarcastic https://www.instagram.com/p/BA4WRFSGGNz/
NoelKnight	I kicked ass at spin class this AM. Now I'm sipping Starbucks and working emails. I'll be adulting all day... #yay! #sarcasm
BrockNiner	@TheMojoMissy I'm so happy for you #sarcasm grrrr
zanbunn	@Scuba_Dude @FoxNews YOU'RE WRONG! PPL DON'T KNOW HOW TO GET OUT OF THE SNOW #RUN #HIDE BY THEMSELVES. #sarcasm #WakeUpAmerica
famishadnetwork	Take this with you #nochill #nochillbutton #instafunny #comedy #laughing #burn #sarcasm #funnypictures #meme #idgaf… http://dlvr.it/DMQTLv
Ianmcpherson22	@CBCNews With all these new refugees, this was bound to happen. #sarcasm. Honestly, sad to hear. Never good to hear.
ariestwenty1	Cheers to the drinkers who think that is the solution to their problems! #sarcasm ❌🍺😒
tonexiz	I speak #sarcasm . Is it a Halal language ?
JeanetteJing	@1lolamarina 😂 because @davidsirota @KatrinaNation @democracynow @leefang just engage in ad hominem for no reason, without facts #sarcasm 😂
MorganHA1988	Thank goodness for global warming. We may have gotten 36 inches instead of 28. #blizzard2016 #sarcasm
BuckeyedocOD	@ESPNNBA And that they fired Popovich due to a lack of connectedness in the locker room. #sarcasm
JohnMichalak	Everyone was right. #Peyton #Manning is just not the quarterback he used to be... ;) #sarcasm #NEvsDEN #AFCChampionship
ShitGrownupsSay	RT malibuquilts: The Only Running I do Is LATE http://etsy.me/1DSYxx9 Etsy #lol #fun #funny #sarcasm #late http://ow.ly/XsIrQ
N_A_V	Wet socks. Such a pleasant feeling. #sarcasm
Ciocia	RT @Matthew_Barlow: Shocking. #sarcasm. https://twitter.com/rainafox/status/691387907094003712
tnballer23	RT @StephenHargis: The only thing that could make this game better would be Verne & Gary butchering it from the booth #sarcasm
woltersbj	Thanks NFL for changing the rules to make kickers more important. #sarcasm
Vincent_Ellis56	Gotcha. I didn't know that. I can remember Karl Mecklenberg, but can't remember Steve Young. #sarcasm https://twitter.com/IBN_WATCH/status/691424323001815040
cstiles24	Good route by Ginn there. #sarcasm
judo_kuma	"oh no cain velasquez got injured, what a surprise" 😒 #sarcasm #ufc196
thereallcam	Palmer is having a fantastic game... wait nvm #sarcasm
Shoq	Do I have to put the #sarcasm tag on EVERYTHING? Jeez… https://twitter.com/Shoq/status/691451661357838336
mnichols06	RT @PatrickMannelly: I am really looking forward to watching all the highlights of Peyton’s Super Bowl win for the next two weeks. #sarcasm
SarcasmAlert_	The 10 Best Television Mustaches Ever, Ranked By The Current Champion http://sarcasmalert.com/the-10-best-television-mustaches-ever-ranked-by-the-current-champion/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost #funny #sarcasm #funnynews
lucither	RT @sonjdol: It's all about winning, isn't it. If you are a loser.... we will win even more on your back. #sarcasm https://twitter.com/SChackathons/status/691389640490754048
ChairmanMeowXD	The people next door to me are partying #Yay #sarcasm
DavidJack20	Novillo & Fornaroli two of the best A League recruits in recent seasons, just shading Trifunovic & Leonardo #sarcasm #MCYvWEL
inFAITHnityyyy	dear mum, thanks for the comforting words. #sarcasm
DerSchwarzBaron	http://www.bbc.co.uk/news/uk-northern-ireland-35397998 I'm sure the police new about this they should have stopped it! #sarcasm #irishnews #shankhillbomb #Getagrip
jonashelford	Great parking Bartlett&Sons & @RoyalMail left loads of space #sarcasm http://twitter.com/jonashelford/status/691612316580876290/photo/1
GunsNRecords	@latimes because there are no Mexican actors in Los Angeles.... #sarcasm
tschoehuijs	Flight from @ehvairport to #Rome delayed for 5 hours... Good thing we got a 5€ voucher and a nice sunset... #sarcasm http://twitter.com/tschoehuijs/status/691662493102555136/photo/1
raulramosreal	Going to the dentist now... Happiest moment of my life! #sarcasm #iwannadie #gottafixthatbodythough
EtsyFabulous	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/XuK86
volfan1983xxx	@lgbtqnation Atleast God Picked such a Righteous & Loving person to do this #sarcasm & Someone that will Show How Wrong They Are #LoveWins
smythryan11	I secretly love how you can text someone & it takes them hours to respond, if at all. But they are on fb w/in mins for their bf/gf #sarcasm
klwalker14	I love being on hold for 50 minutes to have a 3 minute conversation. #sarcasm
reddwarf42	@scottjohnson That's easy, nothing as always. #sarcasm
karre_adams	RT @GregRicha: New slogan 'Volkswagen'?? That'll fix it. #sarcasm. Maybe cut the deceit and lies http://adage.com/article/cmo-strategy/vw-ditch-das-auto-report/301924/?utm_campaign=SocialFlow&utm_source=Twitter&utm_medium=Social
Taylerbono	@BROOKS_HOFFOS That's it? What do you do with all your free time? #sarcasm
EmmanuelFonte	All we need is stuff for contentment. That was #sarcasm Let's live in gratitude #HonorTheGift @… https://www.instagram.com/p/BA-2nUawlii/
psmooth08	@Patrick__Tallon @AATHabs what an idiot!!! Think Larry think, come on man!!! #Habs #sarcasm lol
spartandog1	RT @israel_shield: The terrorist who murdered Dafna Meir has been caught. Guess what? He's a Muslim terrorist. I'm shocked! #sarcasm
randazzonichol2	RT @ZackNasty24: I'm boycotting the BET awards because there's not enough white people. #sarcasm
lucknow_leopard	@LocusCommunis @asymco @ForeignPolicy so the way to stop terrorism is to ignore that it exists. Let few people die. Genius! Wow! #sarcasm
EtsyFabulous	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/XuMCI
thechadcaswell	Oh man these guys are chanting for some cosplay guy in the front row! They must be so cool! #sarcasm #raw #idiots
ClittyW	@CarolLuvsHockey Just a couple days away ... #sarcasm
sennikoffk	@jon_townsend3 Yeah. Do better, pft. #sarcasm
Blakei	Lack of #tone is a problem online. Researchers have developed an extremely effective “#sarcasm detector” http://irvi.ng/qDS
SunSunych85	RT @Blakei: Lack of #tone is a problem online. Researchers have developed an extremely effective “#sarcasm detector” http://irvi.ng/qDS
Libertea2012	RT @JeanetteJing: Yes. Bernie is an oligarch because he is old and white. #sarcasm This is beyond idiotic. It's just plain old racist. http…
SimonAlden1	@TheSandK I've gone colour blind! How do they choose what to wear,there's such variety... #sarcasm
Ktek01	@DDucheyne sometimes #sarcasm is the only way 2 make them think (1mn) about their attitude "was she serious or was it a joke "😊😊😈
SarcasmAlert_	Ukraine Cease-Fire Threatened By Continued Fighting Near Debaltseve http://sarcasmalert.com/ukraine-cease-fire-threatened-by-continued-fighting-near-debaltseve/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost #funny #sarcasm #funnynews
dviess	@BMileskiKFAN @fan_of_vikings you're allowed to shoot on a PP? #sarcasm
addfollowerfree	Researchers develop sarcasm detector for Twitter, and… http://j.mp/1PAn594 #SocialMedia #Computers #jokes #machinelearning #sarcasm
Stepto	So happy this wind storm knocked out my power and connectivity. Outstanding. Really top notch work. #sarcasm
lkmad	But but doctors don't make mistakes! ;) #sarcasm https://twitter.com/io9/status/692041913722093568
crosshairtrader	So Oprah losses 25 lbs using $WTW That has to be worth a few billion in market value right? #sarcasm
BmoreOsGirl30	Me after our trip to the store. Livin' on a mountain in the winter is fun! 😊 #sarcasm 😂 http://twitter.com/BmoreOsGirl30/status/692056047490580480/photo/1
uconncrazy	@Tim_Fontenault No way! You a-holes were serious and now you're back tracking! #sarcasm
goonerLewis	Electric atmosphere at Anfield tonight for the big game #livsto #lfcvscfc #Liverpoo #CapitalOneCup #sarcasm #ssssshhhhh
peter_stephens	Tomorrow is going to be FUN #sarcasm
BeardedMinion	OMG only 74 million iPhones sold in 3 months AND only $53 BILLION revenue instead of predicted $58 billion. #sarcasm http://twitter.com/BBCBreaking/status/692099058811453440
hmncrss	.@Newlaw1995 All in the name of humanity #sarcasm Denmark passes controversial bill to seize assets and valuables from humans #HumanCrisis
JaredGrand	That's some solid defense by IU #sarcasm
leahflame	As a Flames fan, thanks for reminding me. #sarcasm https://twitter.com/MarkLazerus/status/692167638169063424
DNuggsfan	@lids made everything better. A 20% off coupon. #sarcasm #whatajoke
SeanTravisDave	But WE NEED government to take care us, don't we? #sarcasm #liberalism https://twitter.com/SanfordButler/status/692156766671499264
UMeNMactech	#Siri #sarcasm Poor me. http://twitter.com/UMeNMactech/status/692241227564081154/photo/1
smartlurker	.@traeu_saoe a real credible sighting that one #sarcasm @RemeeCullen @runningwnails
RealBenLund	Can't believe that situation got messy? #sarcasm https://twitter.com/MPTrending/status/692270833188880384
joshuay295	Morning training. I love the army. #sarcasm
GoodGoy5	@TRobinsonNewEra Thats impossible, the has banned guns, THIS DIDNT HAPPEN #sarcasm
mdobk	Oh it's all men testifying in support of HB 4145? That's so weird. #sarcasm
PHFriends	RT @CFreiss_boston: Wait St in #missionhill. Good to see Alpha Realty clearing the sidewalk, as usual #sarcasm @notifyboston https://t.co/K…
jcoronado1	@jboogie here is a killer UX job description. This one is a winner #sarcasm https://twitter.com/mojoguzzi/status/692356566427811840
rayray_cray_zay	@double0troll @KattMckinney @Levi_Pride the #sarcasm must have missed you.
iBookLove	RT @garynew59: People Like That... by Gary Newsom http://www.amazon.com/dp/B00JVNZSPE/ref=cm_sw_r_tw_dp_gMpQwb0HHHX7V via @amazon #IARTG #BookBoost #sarcasm #humor #teen #YA
pinklolo9	Having the flu and being on voice rest is the most fun thing i've ever been through #sarcasm
CoxeyLoxey	@DuncanWeldon I went through a phase of adding "#sarcasm" hashtag to tweets.... But then thought F*** Em! if they don't get it
mattdaubs	What do you mean subjecting someone to pornography in a professional setting isn't just a goof? #sarcasm https://twitter.com/vice/status/692495820575248385
BrianDavidBerry	@MSalt69 @japantimes I'm sure if #Japan & the Abe gov. try their best, they can make Japan #1 in the world in this category. #sarcasm
MeredithCKing	Fireworks?! On a date?! I never would've guessed it. #sarcasm #Bachelor
RanjanRoi	RT @A_bhisheks: Boss to subordinate - Ours is a liberal, democratic management. You are free to disagree on #national holiday. #sarcasm #hu…
ku_shiv_ey	RT @A_bhisheks: Boss to subordinate - Ours is a liberal, democratic management. You are free to disagree on #national holiday. #sarcasm #hu…
The_BNags	RT @blumer_joey: We couldn't have won the section title tonight without the support student section! Thank you for the support! #sarcasm
lifeofaesthetic	RT @RussellAdam: @LeBronJames @KingJames Yeah bc Lue really deserves to be the coach. #sarcasm
abby_world	@TPM of course he shouldn't have been shot. It's not like he was a 13 year old black kid holding a fake gun. #sarcasm
kms167	@CGates120Sports enjoy having your D on the field the most of any team. #sarcasm
LisaMarie1128	..I'll fill in that blank.. Oh.. Is that why she cares again.. Didn't notice.. #sarcasm
BonnywoodManor	51 Things about 49 Movies http://wp.me/pw6j0-ec via @BonnywoodManor #humor #movies #sarcasm #amwriting
trxlv	RT @NicholasScared_: Mexico! We are coming for you! @wegetscared #demons #suffer #rip #sarcasm #voodoo #2016 https://www.instagram.com/p/BBEt6wMm7Fa/
pixiedustpower	@TraceCyrus @FusionVapeBar A great thing 2 b endorsing. #sarcasm
Dennis_ByrdAR	I like when it's 3am and my brain won't shut down. It's fun. #sarcasm #insomnia #idratherbesleeping #cantstopthinkingaboutrandomstupidstuff
nimbos	As there's an "under occupancy penalty" why not an "over occupancy payment"? Surely one makes as much sense as another #bedroomtax #sarcasm
SarcasmAlert_	How Tough Are You http://sarcasmalert.com/how-tough-are-you/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost #funny #sarcasm #funnynews
LeahMD51	RT @GPUabuse: Gotta love Frontier 25Mps down | 2Mbps up #sarcasm @FrontierCorp
shannonamosx	The people who work in Cardiff McDonalds must be the happiest people in the world... #sarcasm
bmehl33	@TheBNPodcast good to know you have your priorities staight... #sarcasm
dakrolak	Think about it we live in a glorious time where you actually have to share links with a disclaimer "This is not from The Onion" #sarcasm
parkerc2112	@shayEspinoza817 I'll get right on that.#sarcasm
joshaccardo	@stephaniefanta haha I agree with your hashtag, even though I suspect it is dripping with #sarcasm
Think_Minx	@megynkelly Please go away.You're bedding #michaelmoore one of the most liberal s.o.b. on this Earth. Good show on not be biased #sarcasm
missbabydoll91	A girl can dream 😔 #humor #fabulous #careergoals #sarcasm #sassycaligirl https://www.instagram.com/p/BBGBNJVNIMw/
beefcakeempress	RT @Ceraphus: The struggle is real I suppose, with all that "creativity" #sarcasm #TheCakeIsALie http://twitter.com/Ceraphus/status/692789829722083332/photo/1
imadumbquestion	ENTIRELY unrelated to his Stars team chasing Toews' Blackhawks in the standings... #sarcasm https://twitter.com/espn_nhl/status/692799481524269056
wdbremer	Yes, you should be able to have a news network where you never hear anyone you disagree with. #sarcasm >https://twitter.com/LindaSuhler/status/692806375299153920
AshleaMcGrath	#FacebookIQ says new moms in #Canada post 4x more video & 3.4x more photos & 2x more content. Surprised? #sarcasm
dandoherty1981	@mrloopy52 @PaulForMayor @cyclist_london yeh it's so depressing to see a city actually working towards a goal of traffic reduction #sarcasm
TRUTHERBOTJOK3R	RT @trutherbotred: A few Facebook employees were former data mining engineers at the @CIA, your data is in safe hands. #sarcasm
bindadu	Let us pray for them to solve the problem! #sarcasm https://twitter.com/rapplerdotcom/status/692831361632182272
iamtherealbp	Weird I want to watch something on watch @espn and the app is not working this never happens #sarcasm
JunTwice	RT @Calvinn_Hobbes: Because we all enjoy eating a plate of green goo #sarcasm http://twitter.com/Calvinn_Hobbes/status/692882108302295040/photo/1
vinaleekha1	RT @Calvinn_Hobbes: Because we all enjoy eating a plate of green goo #sarcasm http://twitter.com/Calvinn_Hobbes/status/692882108302295040/photo/1
Cjjensen57	RT @Calvinn_Hobbes: Because we all enjoy eating a plate of green goo #sarcasm http://twitter.com/Calvinn_Hobbes/status/692882108302295040/photo/1
EitherGasm	If only Gerald's mom had....#AmIRight #sarcasm #calmdown https://twitter.com/gmbutts/status/692774283605622784
RarePairGaming	RT @Calvinn_Hobbes: Because we all enjoy eating a plate of green goo #sarcasm http://twitter.com/Calvinn_Hobbes/status/692882108302295040/photo/1
PRyanC579	@MattWalshBlog: You mean and actual debate? For shame! How dare you!! #sarcasm
malibuquilts	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/XDtr0
NuclearAnthro	Oh FFS. Notice the 'Islamicist rhetoric of martyr.' #sarcasm https://twitter.com/bencjacobs/status/692910550204944388
Lola_Here	I just love the idea of men deciding what women should do with their body. Just LOVE IT! #sarcasm
JessicaLinn	Boy, I sure do love a bunch of men in suits telling me what I should do with my body. #sarcasm #RepubDebate #womensrights
katerina_paige	Prom ready i guess you could say #sarcasm http://twitter.com/katerina_paige/status/692928128012939264/photo/1
BeerUpBlog	Hot Beer Trends for 2016- #sarcasm http://www.beerup.beer/blog/newfads #craftbeer #beard
MathieuGauthie3	RT @Calvinn_Hobbes: Because we all enjoy eating a plate of green goo #sarcasm http://twitter.com/Calvinn_Hobbes/status/692882108302295040/photo/1
phyzal25	He should have returned a portion of the money. That would have made it right 😌😌 #sarcasm https://twitter.com/wsj/status/692640332161400832
B_Linzel	RT @Calvinn_Hobbes: Because we all enjoy eating a plate of green goo #sarcasm http://twitter.com/Calvinn_Hobbes/status/692882108302295040/photo/1
_Bikram	The #sarcasm is strong with this one. #swachhbharat not really #swachh https://www.instagram.com/p/BBHVmRrl1xCYqch4ftmv_N_J5k8nqmNNKd5t7s0/
tr3stigres	RT @Calvinn_Hobbes: Because we all enjoy eating a plate of green goo #sarcasm http://twitter.com/Calvinn_Hobbes/status/692882108302295040/photo/1
MichMarieAl77	RT @Calvinn_Hobbes: Because we all enjoy eating a plate of green goo #sarcasm http://twitter.com/Calvinn_Hobbes/status/692882108302295040/photo/1
M_Frank_Author	RT @Calvinn_Hobbes: Because we all enjoy eating a plate of green goo #sarcasm http://twitter.com/Calvinn_Hobbes/status/692882108302295040/photo/1
vinaykuchhal	#awkward #moment when a woman's #sarcasm gives you #orgasm
JeepMattDE	YAY! More rain! Hopefully we can hit that 7 inch mark for the month! #sarcasm https://twitter.com/rtmarriott/status/693043593175379968
BeerMeClothes	BumWineBob: RT BeerUpBlog: Not so Hot Beer Trends for 2016- #sarcasm http://www.beerup.beer/blog/newfads #craftbeer #FridayFeeling
thetravelhq	Must b super intrstng snce I've seen like 18,000 articles on this same topic the last cpl weeks. I bettr RT #sarcasm https://twitter.com/travelleisure/status/693090321803124737
TMPCTD	@akasan B-but Akasan, u couldnt possibly have a reasonable opinion. Fine Bros are love. Fine Bros are life. #sarcasm http://twitter.com/TMPCTD/status/693098840879190016/photo/1
JPitch96	@figsx but you're like accepting of other people? Why would I vote for that. #sarcasm
DevinDavis22	I'm glad I'm your first priority. #sarcasm
RobertVancel	@6News What a shock. #sarcasm
bigballsonchin	Get it right!! 🐸🍔🍟#funny #funnypictures #funnymemes #lol #memes #lmao #humor #jokes #lmbo #rofl #comedy #sarcasm #n… http://twitter.com/bigballsonchin/status/693155165239664642/photo/1
donthatethehash	@FFGames, thank you. Thank you for another spoiler free week for Armada and X-Wing. I love being teased. #sarcasm #suckit
jee_knee	cold?!.. nah... not really! #sarcasm http://twitter.com/jee_knee/status/693175231725359105/photo/1
pokergirl24	@RapSheet @adamrank I can't wait to buy tix to the Sd Raider & LA Charger game at Qualcomm!!!! #sarcasm
tbh_jon	When it's your one month this weekend and you have no plans so you don't hangout. I guess that's how it works? #sarcasm
agoss1	@OwenGoss A life of craft is SO much easier… #sarcasm
amberrashelhunt	RT @Phakinga: YES! The #earthisflat ! We fly on a turtle through space!!! #PleaseBelieveMe! #sarcasm http://twitter.com/Phakinga/status/693227436452945920/photo/1
bob_moss	Thanks to webfluencers, I regularly exclaim "this new medium has engaged & influenced me to consume goods!" #sarcasm https://twitter.com/TheNextWeb/status/693230406733316096
patrickmac05	@teddy_montoya ha! No doubt. Fortunately the Rapids are gonna be awesome this year so it's all good. #sarcasm
WellingMichael	@WarrenPeas64 @mikeytheweasel you need to #sarcasm to that statement. Lol 😁
WhatTheVak	Funny how you do everything for people and they do the same for you ha not #sarcasm
MachRealty	@sherlockmichael you forgot #sarcasm
iamrobw	Snowing again. Looking forward to local snowplows destroying my front yard, again. At least, I will keep sod companies in business. #sarcasm
leanneleach	Random car selfie. Yeah. Hubby just LOVED when I do this. (Dripping with sarcasm) #sarcasm… http://ift.tt/1P3TzTy http://twitter.com/leanneleach/status/693475450442641410/photo/1
calmstateofmind	Just hit the lock button twice if you want to decline a call with the slider option. Mind blown further. #sarcasm https://twitter.com/_tessa_xx_/status/692795081196244992
laurenkcarter	Since everyone is picking something to be offended about these days, I guess I choose...The term "dumb blonde" Totally hair racism. #sarcasm
Mescalero71	RT @2AFight: Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5pF…
midcitymike	@MattOswaltVA @SamFrenchBkshp @Illeanarama damn I saw Oswalt and thought it was @pattonoswalt doing the reading #nothankyou. #sarcasm
CoffeeBrue	New #Coffee Instagram by @sarahlou1283 #I #run #on #coffee #sarcasm #lipstick #life #quote @sarlou1283 http://twitter.com/CoffeeBrue/status/693532666403123201/photo/1
wdbremer	You are correct. I know @LindaSuhler understood but I read that old people like me don’t get sarcasm. #sarcasm. https://twitter.com/MrLime/status/693544775916527616
PuebloRdoSports	Couple of Pueblo West Cyclone players in the crowd for this one. I have no idea why they want to see this game... #sarcasm #BigGameTuesday
altereg0	@GeorgeRichards omg they're gonna trade for PK?!? #sarcasm
missla79	😏😂🙈😂 already fucking up😂 #2017 #already #fucking #up #lmao #lol #funny #sarcasm #funnyshit… https://www.instagram.com/p/BBL4hGBFqDn/
rcmiller80	@chrisprythm yep. Because I go Ice skating so often I decided to get my own pair. 😳 #sarcasm
DG_aka_Snackz	RT @Ldiddy11: cooling out on this saturday night..... lucky me #sarcasm
pEwenM	@rushbynature "bit of everything" don't be silly, there must be a magic diet that makes you faster! #sarcasm #hardworkpaysoff #moderation
Regina_Kru	My level of sarcasm's gotten to a point where I don't even know if I'm kidding or not #sarcasm
natashaa_jane	this will make getting up for work that little bit easier tomorrow 😅👊🏻 #sarcasm
Ben_Abra	RT @haivri: You make it sound as if the Palestinian Authority is directly involved in terror attacks. #sarcasm https://twitter.com/ofirgendelman/status/693751547872829440
dlmarie1955	RT @haivri: You make it sound as if the Palestinian Authority is directly involved in terror attacks. #sarcasm https://twitter.com/ofirgendelman/status/693751547872829440
